ID azienda,Area of Activity,EMTAK Code,NACE Code,Source
163,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,Annual report                                    (21.02.2019)                                    
164,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Annual report                                    (17.08.2016)                                    
166,Removal services,49421 (EMTAK 2008),49.42,Annual report                                    (19.01.2022)                                    
167,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (30.06.2022)                                    
168,Other hobby education,85529 (EMTAK 2008),85.52,Annual report                                    (24.01.2022)                                    
169,Web portals,63121 (EMTAK 2008),63.12,Electronic submission                                    (07.03.2018)                                    
170,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission                                    (17.04.2019)                                    
171,Car washing and other services,45202 (EMTAK 2008),45.20,Annual report                                    (11.03.2017)                                    
172,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report                                    (27.06.2022)                                    
173,Other publishing activities,58191 (EMTAK 2008),58.19,Annual report                                    (23.05.2022)                                    
174,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission                                    (30.05.2013)                                    
175,Other sports activities,9319 (EMTAK 2008),93.19,Electronic submission                                    (15.08.2016)                                    
176,Other service activities,96099 (EMTAK 2008),96.09,Annual report                                    (29.06.2022)                                    
177,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission                                    (08.10.2012)                                    
178,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report                                    (26.06.2022)                                    
179,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission                                    (29.01.2021)                                    
180,Retail sale of goods n.e.c.,47789 (EMTAK 2008),47.78,Annual report                                    (28.06.2010)                                    
181,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report                                    (30.06.2022)                                    
182,"Other professional, scientific and technical activities n.e.c.",74901 (EMTAK 2008),74.90,Electronic submission                                    (18.08.2017)                                    
183,Wholesale trade of motor vehicle parts and accessories,45311 (EMTAK 2008),45.31,Annual report                                    (01.07.2022)                                    
184,Retail trade of motor vehicle parts and accessories,45321 (EMTAK 2008),45.32,Annual report                                    (30.06.2022)                                    
185,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (19.04.2022)                                    
186,Retail sale of souvenirs and craftwork articles in specialised stores,47783 (EMTAK 2008),47.78,Electronic submission                                    (05.02.2020)                                    
187,Fund management activities,66301 (EMTAK 2008),66.30,Electronic submission                                    (16.06.2021)                                    
188,Car washing and other services,45202 (EMTAK 2008),45.20,Electronic submission                                    (24.08.2017)                                    
190,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (08.06.2022)                                    
192,Other business support service activities n.e.c.,8299 (EMTAK 2008),82.99,Annual report                                    (30.06.2022)                                    
193,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (03.05.2022)                                    
194,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (17.11.2019)                                    
195,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission                                    (04.03.2020)                                    
197,Other service activities,96099 (EMTAK 2008),96.09,Electronic submission                                    (03.10.2022)                                    
198,Constructional engineering-technical designing and consulting,71121 (EMTAK 2008),71.12,Annual report                                    (20.06.2017)                                    
199,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report                                    (16.06.2021)                                    
200,Other food service activities,56291 (EMTAK 2008),56.29,Annual report                                    (25.05.2021)                                    
201,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission                                    (05.03.2019)                                    
202,Repair and maintenance of other transport equipment,33171 (EMTAK 2008),33.17,Annual report                                    (21.08.2012)                                    
203,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report                                    (11.07.2022)                                    
205,Other legal activities,69109 (EMTAK 2008),69.10,Annual report                                    (18.07.2022)                                    
206,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission                                    (02.12.2019)                                    
207,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Electronic submission                                    (12.10.2021)                                    
208,Other software publishing,58291 (EMTAK 2008),58.29,Electronic submission                                    (15.07.2022)                                    
209,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission                                    (29.10.2021)                                    
210,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission                                    (10.11.2019)                                    
211,Temporary employment agency activities,78201 (EMTAK 2008),78.20,Annual report                                    (06.10.2019)                                    
212,Other research and experimental development on natural sciences and engineering,72191 (EMTAK 2008),72.19,Annual report                                    (22.02.2022)                                    
213,"Data processing, hosting and related activities",63111 (EMTAK 2008),63.11,Annual report                                    (25.09.2022)                                    
214,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (18.05.2018)                                    
215,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report                                    (24.04.2022)                                    
216,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission                                    (23.02.2021)                                    
217,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report                                    (19.10.2020)                                    
218,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report                                    (31.07.2021)                                    
221,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report                                    (22.10.2020)                                    
223,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report                                    (20.06.2022)                                    
224,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report                                    (08.05.2022)                                    
225,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission                                    (24.11.2022)                                    
226,Business and other management consultancy activities,7022 (EMTAK 2008),70.22,Annual report                                    (02.12.2020)                                    
227,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report                                    (29.06.2021)                                    
228,Retail sale via mail order houses or via Internet,4791 (EMTAK 2008),47.91,Annual report                                    (30.06.2022)                                    
232,Computer consultancy activities,62021 (EMTAK 2008),62.02,Electronic submission                                    (11.12.2020)                                    
233,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,Annual report                                    (14.09.2022)                                    
234,Constructional engineering-technical designing and consulting,71121 (EMTAK 2008),71.12,Annual report                                    (29.06.2022)                                    
235,Wholesale of other intermediate products,46761 (EMTAK 2008),46.76,Annual report                                    (30.06.2022)                                    
236,Freight transport by road,49411 (EMTAK 2008),49.41,Field of activity code data encoding by RIK                                    (07.05.2002)                                    
237,Pet care services,96091 (EMTAK 2008),96.09,Annual report                                    (04.04.2022)                                    
239,Other retail sale in non-specialised stores,47191 (EMTAK 2008),47.19,Annual report                                    (30.06.2017)                                    
242,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission                                    (12.10.2021)                                    
244,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission                                    (31.10.2022)                                    
245,Removal services,49421 (EMTAK 2008),49.42,Annual report                                    (27.04.2020)                                    
246,Computer consultancy activities,62021 (EMTAK 2008),62.02,Electronic submission                                    (09.09.2021)                                    
247,Agents involved in the sale of timber and building materials,46131 (EMTAK 2008),46.13,Annual report                                    (02.06.2022)                                    
248,Manufacture of fertilisers and nitrogen compounds,20151 (EMTAK 2008),20.15,Annual report                                    (01.10.2020)                                    
249,Wholesale of solid fuels,46711 (EMTAK 2008),46.71,Annual report                                    (27.06.2019)                                    
250,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report                                    (14.11.2022)                                    
251,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Annual report                                    (27.06.2022)                                    
252,"Associations and social clubs related to recreational activities, entertainment, cultural activities or hobbies",94995 (EMTAK 2008),94.99,Annual report                                    (29.06.2022)                                    
253,Other earth and soil works,43129 (EMTAK 2008),43.12,Annual report                                    (30.10.2020)                                    
258,Activities of other membership organisations n.e.c.,9499 (EMTAK 2008),94.99,Annual report                                    (05.05.2022)                                    
262,Museums activities,91021 (EMTAK 2008),91.02,Annual report                                    (13.05.2022)                                    
263,Activities of other organisations not classified elsewhere,94999 (EMTAK 2008),94.99,Annual report                                    (30.06.2022)                                    
264,Activities of business and employers membership organisations,9411 (EMTAK 2008),94.11,Annual report                                    (30.06.2022)                                    
265,Raising of other animals,01499 (EMTAK 2008),01.49,Annual report                                    (13.11.2022)                                    
268,Environment and nature protection associations,94996 (EMTAK 2008),94.99,Annual report                                    (28.06.2022)                                    
270,Activities of other organisations not classified elsewhere,94999 (EMTAK 2008),94.99,Annual report                                    (30.08.2022)                                    
272,Activities of parties,94921 (EMTAK 2008),94.92,Annual report                                    (21.12.2021)                                    
274,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report                                    (10.03.2022)                                    
275,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report                                    (23.01.2018)                                    
281,Temporary employment agency activities,78201 (EMTAK 2008),78.20,Annual report                                    (22.04.2022)                                    
282,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Electronic submission                                    (04.06.2021)                                    
283,Wholesale of other machinery and equipment,4669 (EMTAK 2008),46.69,Annual report                                    (25.03.2022)                                    
285,Organisation of conventions and trade shows,82301 (EMTAK 2008),82.30,Annual report                                    (06.07.2022)                                    
286,Activities of holding companies,64201 (EMTAK 2008),64.20,Electronic submission                                    (05.08.2022)                                    
287,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Electronic submission                                    (27.12.2021)                                    
288,Other healthcare activities not classified elsewhere,86909 (EMTAK 2008),86.90,Electronic submission                                    (19.11.2020)                                    
289,Other research and experimental development on natural sciences and engineering,72191 (EMTAK 2008),72.19,Electronic submission                                    (04.11.2021)                                    
291,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report                                    (23.06.2022)                                    
292,Translation and interpretation activities,74301 (EMTAK 2008),74.30,Electronic submission                                    (10.07.2013)                                    
293,Mixed farming,01501 (EMTAK 2008),01.50,Field of activity code data encoding by RIK                                    (10.12.1998)                                    
295,Specialised design activities,74101 (EMTAK 2008),74.10,Annual report                                    (21.06.2022)                                    
297,Manufacture of prefabricated metal buildings,25111 (EMTAK 2008),25.11,Annual report                                    (20.07.2022)                                    
298,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (27.06.2022)                                    
302,Manufacture of doors and windows of metal \xc2\xa0,25121 (EMTAK 2008),25.12,Annual report                                    (30.06.2022)                                    
303,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission                                    (01.07.2015)                                    
304,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report                                    (29.06.2022)                                    
305,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report                                    (30.06.2022)                                    
306,General cleaning of buildings,81211 (EMTAK 2008),81.21,Annual report                                    (30.06.2022)                                    
307,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report                                    (05.07.2022)                                    
308,Retail sale of other building material and goods in specialised stores,47529 (EMTAK 2008),47.52,Annual report                                    (28.06.2022)                                    
309,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report                                    (01.06.2022)                                    
310,"Wholesale of wood, construction materials and sanitary equipment",4673 (EMTAK 2008),46.73,Annual report                                    (12.07.2022)                                    
311,Retail sale of other building material and goods in specialised stores,47529 (EMTAK 2008),47.52,Annual report                                    (28.06.2022)                                    
312,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report                                    (22.08.2022)                                    
313,Repair of furniture and home furnishings,95241 (EMTAK 2008),95.24,Annual report                                    (22.06.2022)                                    
316,Language training,85591 (EMTAK 2008),85.59,Annual report                                    (29.11.2022)                                    
317,Language training,85591 (EMTAK 2008),85.59,Annual report                                    (30.06.2022)                                    
320,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report                                    (29.11.2022)                                    
321,Landscape service activities,81301 (EMTAK 2008),81.30,Annual report                                    (09.08.2022)                                    
323,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report                                    (21.06.2022)                                    
326,Other transportation support activities,5229 (EMTAK 2008),52.29,Annual report                                    (29.06.2017)                                    
327,Wholesale of metals and metal ores,46721 (EMTAK 2008),46.72,Annual report                                    (07.12.2017)                                    
328,Language training,85591 (EMTAK 2008),85.59,Electronic submission                                    (28.01.2021)                                    
329,"Retail sale of computers, peripheral units and software in specialised stores",47411 (EMTAK 2008),47.41,Annual report                                    (12.07.2022)                                    
330,Maintenance and repair of motor vehicles,45201 (EMTAK 2008),45.20,Electronic submission                                    (20.03.2018)                                    
331,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Electronic submission                                    (15.04.2021)                                    
333,Rental and operating of own or leased real estate,6820 (EMTAK 2008),68.20,Annual report                                    (30.06.2022)                                    
335,"Wholesale of fish, crustaceans and fish products",46381 (EMTAK 2008),46.38,Annual report                                    (02.12.2008)                                    
336,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report                                    (22.06.2017)                                    
338,Culture centres and community centres,93291 (EMTAK 2008),93.29,Annual report                                    (29.06.2010)                                    
339,Hotels,55101 (EMTAK 2008),55.10,Annual report                                    (30.06.2022)                                    
340,"Retail sale via stalls and markets of food, beverages and tobacco products",47811 (EMTAK 2008),47.81,Annual report                                    (22.05.2020)                                    
341,Engineering activities and related technical consultancy,7112 (EMTAK 2008),71.12,Annual report                                    (24.06.2021)                                    
344,Electrical installation,4321 (EMTAK 2008),43.21,Annual report                                    (10.10.2022)                                    
345,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report                                    (27.06.2022)                                    
348,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (30.06.2021)                                    
349,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Electronic submission                                    (20.06.2022)                                    
351,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report                                    (24.03.2022)                                    
352,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report                                    (07.07.2022)                                    
353,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report                                    (28.03.2013)                                    
354,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report                                    (13.05.2022)                                    
355,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission                                    (10.12.2021)                                    
357,Artistic creation,90031 (EMTAK 2008),90.03,Electronic submission                                    (22.12.2009)                                    
358,Media representation,73121 (EMTAK 2008),73.12,Annual report                                    (25.11.2020)                                    
359,Activities of dance schools,85522 (EMTAK 2008),85.52,Annual report                                    (27.04.2022)                                    
361,Removal services,49421 (EMTAK 2008),49.42,Annual report                                    (25.03.2022)                                    
362,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission                                    (12.10.2022)                                    
364,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.10,Annual report                                    (21.06.2016)                                    
365,"Associations and social clubs related to recreational activities, entertainment, cultural activities or hobbies",94995 (EMTAK 2008),94.99,Annual report                                    (30.04.2022)                                    
366,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission                                    (18.06.2021)                                    
369,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (30.05.2022)                                    
371,"Data processing, hosting and related activities",63111 (EMTAK 2008),63.11,Electronic submission                                    (09.11.2022)                                    
372,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (16.06.2022)                                    
373,Other human resources provision,78301 (EMTAK 2008),78.30,Electronic submission                                    (19.11.2020)                                    
375,"Leasing of intellectual property and similar products, except copyrighted works",77401 (EMTAK 2008),77.40,Electronic submission                                    (15.11.2018)                                    
376,Rental and leasing of cars and light motor vehicles,77111 (EMTAK 2008),77.11,Annual report                                    (14.11.2021)                                    
377,Engineering activities and related technical consultancy,7112 (EMTAK 2008),71.12,Annual report                                    (07.07.2022)                                    
378,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report                                    (16.05.2022)                                    
