id	sentence1	sentence2	label
4056	Where Are '`` Now ( with Justin Bieber ) [ Ember Island Remix ] 2:31 16-Jun-15 - Skrillex & Diplo - Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP	Scary Monsters And Nice Sprites ( Zedd Remix ) Skrillex Scary Monsters And Nice Sprites EP [ Explicit ] Electronica , Dance & Electronic , Dubstep $ 1.29 ( c ) 2013 Digitop Ltd -  - 	0
1551	Second Chance ( Live Acoustic from Kansas City ) Shinedown $ 1.29 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 18-Apr-11 -  - Somewhere In the Stratosphere ( Live )	Burning Bright ( Live From Washington State ) Somewhere In The Stratosphere Rock $ 1.29 April 18 , 2011 - Shinedown - 	0
2020	If I Am a Stranger ( Live In Amsterdam ) Ryan Adams Live After Deaf ( Live ) [ Complete Collection ] Singer/Songwriter , Music , Rock $ 0.99 2012 PAXAM RECORDS 5:10 2-Jul-12 -  - 	Dear Chicago ( Live in Stockholm ) Live After Deaf ( Collection ) 2012 PAXAM RECORDS - Ryan Adams - 	0
1405	Autonomy ( Cold Blank Mix ) Autonomy - EP 2011 Bugeyed Records 28-Mar-11 - Zedd - 	Autonomy ( Lucky Date Mix ) Zedd Electronica , Dance & Electronic 5:59 March 28 , 2011 -  - Zedd - Autonomy	0
380	Closer ( feat . Mike Posner ) Nick Jonas $ 1.29 2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC 3:48 -  - Nick Jonas ( Deluxe Version )	Numb [ feat . Angel Haze ] [ Clean ] Pop $ 1.29 ( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc. 3:57 - Nick Jonas - Nick Jonas ( Deluxe ) [ Clean ]	0
1545	Second Chance ( Live Acoustic from Kansas City ) Somewhere In the Stratosphere ( Live ) Rock , Music , Metal , Alternative , Hard Rock 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 5:06 - Shinedown - 	45 ( Live Acoustic From Kansas City ) Somewhere In The Stratosphere - Shinedown - 	0
4236	Starry Eyed ( AN21 and Max Vangeli Remix ) Starry Eyed ( Remixes ) - EP Dance , Music , Pop , Rock $ 1.29 15-Feb-11 - Ellie Goulding - 	Lights ( Shook Remix ) Ellie Goulding Lights ( The Remixes Part 1 ) Pop 3:49 May 23 , 2011 -  - 	0
4734	Lick It ( Norman Doray Remix ) Lick It ( Remixes ) - EP Dance , Music , Electronic 2012 Ultra Records , Inc. 6:14 17-Apr-12 - Kaskade & Skrillex - 	Scary Monsters And Nice Sprites ( Phonat Remix ) More Monsters And Sprites EP Dance & Electronic , Dubstep 2011 Rory Bourke Music Co. ( BMI ) June 7 , 2011 - Skrillex - 	0
1236	Titanium ( Spanish Version ) David Guetta Titanium ( Spanish Version ) - Single Dance , Music , Electronic $ 1.29 -  - 	Titanium ( feat . Sia ) [ Cazzette 's Ant Seeking Hamster Mix ] $ 0.99 January 20 , 2012 - David Guetta - Titanium ( Feat . Sia )	0
4823	Halcyon Ellie Goulding $ 1.29 ‰ ãÑ 2013 Polydor Ltd. ( UK ) -  - Halcyon Days ( Deluxe Edition )	Halcyon Ellie Goulding Pop ( C ) 2013 Polydor Ltd. ( UK ) 3:24 August 27 , 2013 -  - Halcyon	1
1168	Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] One Love ( Deluxe Version ) Dance , Music $ 1.29 21-Aug-09 - David Guetta - 	Gettin ' Over ( Feat . Chris Willis ; Continuous Mix Version ) David Guetta One Love ( Deluxe Version ) Dance & Electronic ( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd August 21 , 2009 -  - 	0
1202	The Whisperer ( feat . Sia ) Listen Dance , Music , Electronic , House , Rock , French Pop 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved 3:54 24-Nov-14 - David Guetta - 	Dangerous ( feat . Sam Martin ) David Guetta Listen ( Deluxe ) Dance & Electronic 3:23 -  - 	0
210	Slow Down ( Sure Shot Rockers Reggae Dub Remix ) Slow Down ( Reggae Remixes ) - Single $ 1.29 3:15 - Selena Gomez - 	Good For You ( Yellow Claw & Cesqeaux Remix ) [ feat . A$ AP Rocky ] Pop $ 1.29 - Selena Gomez - Good For You ( Remixes )	0
3376	True Colors ( feat . Nicki Minaj ) Blacc Hollywood Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 19-Aug-14 - Wiz Khalifa - 	True Colors ( feat . Nicki Minaj ) [ Explicit ] Wiz Khalifa Blacc Hollywood [ Explicit ] Rap & Hip-Hop 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company August 19 , 2014 -  - 	1
5712	Turn Around ( 5,4,3,2,1 ) [ DJ Bam Bam Radio Remix ] Flo Rida $ 1.29 16-Nov-10 -  - Turn Around ( 5,4,3,2,1 ) - Deluxe Single	Turn Around ( 5,4,3,2,1 ) Flo Rida Only One Flo ( Part 1 ) [ Deluxe ] [ + Video ] [ + Digital Booklet ] Rap & Hip-Hop $ 1.29 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 3:20 -  - 	1
303	Lifted ( feat . Emeli Sand ' © & Professor Green ) Hotel Cabana ( Deluxe Version ) Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock $ 1.29 - Naughty Boy - 	One Way [ feat . Mic Righteous ] Naughty Boy Hotel Cabana ( Deluxe Version ) [ Explicit ] Pop $ 1.29 ( C ) 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd May 6 , 2014 -  - 	0
3346	Young , Wild & Free ( feat . Bruno Mars ) Snoop Dogg Soundtrack,Music,Hip-Hop / Rap , West Coast Rap , Gangsta Rap , Hardcore Rap , Rap , Soundtrack $ 1.99 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States -  - Mac and Devin Go to High School ( Music from and Inspired By the Movie ) [ Deluxe Version ]	Can You Control Yo Hoe ( Album Version ( Explicit ) ) [ feat . Soopafly ] [ Explicit ] Snoop Dogg R&G ( Rhythm & Gangsta ) : The Masterpiece ( Explicit Version ) Gangsta & Hardcore , Rap & Hip-Hop ( C ) 2004 Geffen Records November 16 , 2004 -  - 	0
6764	Gone The Weeknd Trilogy R&B / Soul , Music , Rock , Contemporary R&B $ 1.29 ‰ ãÑ 2012 XO & co. , Inc. -  - 	Gone ( Album Version ( Edited ) ) [ Clean ] ( C ) 2013 XO & co. , Inc. 8:07 September 18 , 2015 - The Weeknd - Trilogy ( Edited Version ) [ Clean ]	1
2021	If I Am a Stranger ( Live In Amsterdam ) Live After Deaf ( Live ) [ Complete Collection ] 2012 PAXAM RECORDS 5:10 - Ryan Adams - 	Lucky Now ( Live At Carnegie Hall / 11/17/2014 ) [ Explicit ] Ryan Adams $ 1.29 ( C ) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records April 21 , 2015 -  - Live At Carnegie Hall [ Explicit ]	0
1084	Masterpiece ( feat . Jordan Rakei ) Disclosure Caracal 2015 Island Records , a division of Universal Music Operations Limited 4:01 -  - 	Holding On [ feat . Gregory Porter ] Disclosure $ 1.29 5:15 September 25 , 2015 -  - Caracal	0
1204	Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] Listen ( Deluxe Version ) Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . - David Guetta - 	I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) Listen ( Deluxe ) Dance & Electronic $ 1.29 3:08 November 24 , 2014 - David Guetta - 	0
1828	El Perd ' _ n ( Forgiveness ) Pop , Music 3:26 - Nicky Jam & Enrique Iglesias - El Perd ' _ n ( Forgiveness ) - Single	El PerdÌ_n ( Gregor Salto Remix ) Nicky Jam & Enrique Iglesias 2015 Real Sounds July 1 , 2015 -  - El PerdÌ_n ( The Remixes )	0
5147	Take Care ( feat . Rihanna ) Take Care ( Deluxe Version ) Hip-Hop/Rap , Music $ 1.29 - Drake - 	Make Me Proud [ feat . Nicki Minaj ] [ Clean ] Take Care ( Deluxe Edition ) 3:39 March 20 , 2012 - Drake - 	0
2694	Whateva ( feat . Monty ) Fetty Wap Hip-Hop/Rap , Music , Rap Album Only 2015 300 Entertainment/RGF Productions -  - Fetty Wap ( Deluxe )	My Way ( feat . Monty ) [ Explicit ] Fetty Wap Fetty Wap ( Deluxe ) [ Explicit ] Rap & Hip-Hop ( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves 3:33 -  - 	0
592	I Ai n't Livin ' Long Like This Take It to the Bank - EP 2014 Sony Music Entertainment - Chris Janson - 	I Ai n't Livin ' Long Like This Chris Janson Take It to the Bank ( EP ) February 24 , 2014 -  - 	1
2479	I Ca n't Go There ( Acoustic Version ) $ 0.99 2002 BMG 3:45 - Kenny Chesney - No Shoes , No Shirt , No Problems	I Ca n't Go There ( Acoustic Version ) Kenny Chesney No Shoes , No Shirt , No Problems Country 3:45 April 2 , 2002 -  - 	1
1542	Second Chance ( Live Acoustic from Kansas City ) $ 1.29 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 18-Apr-11 - Shinedown - Somewhere In the Stratosphere ( Live )	Times Like These ( Live Acoustic From Kansas City ) Shinedown Rock 4:07 -  - Somewhere In The Stratosphere	0
5001	Who I Am With You Chris Young Country , Music , Urban Cowboy , Contemporary Country ‰ ãÑ 2013 Sony Music Entertainment 3:13 -  - A.M.	Who I Am With You Country September 16 , 2013 - Chris Young - A.M.	1
2021	If I Am a Stranger ( Live In Amsterdam ) Live After Deaf ( Live ) [ Complete Collection ] 2012 PAXAM RECORDS 5:10 - Ryan Adams - 	16 Days ( Live in London 2 Bonus Track ) Ryan Adams Folk , Rock $ 0.99 4:56 July 2 , 2012 -  - Live After Deaf ( Collection )	0
6290	Gold ( feat . Eighty4 Fly ) Macklemore & Ryan Lewis The Heist ( Deluxe Edition ) -  - 	Neon Cathedral ( feat . Allen Stone ) Macklemore & Ryan Lewis The Heist [ Explicit ] Rap & Hip-Hop 2014 Selena Garcia & Steven Gomez October 9 , 2012 -  - 	0
1193	The Whisperer ( feat . Sia ) Listen $ 1.29 3:54 - David Guetta - 	S.T.O.P ( feat . Ryan Tedder ) David Guetta Listen ( Deluxe ) Dance & Electronic 2015 If Moving Your Mine -  - 	0
801	As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ] 2012 The Island Def Jam Music Group - Justin Bieber - As Long As You Love Me ( Remixes ) [ feat . Big Sean ]	Love Me Like You Do ( Sax Instrumental Version ) Justin Ward Love Me Like You Do - Made Popular By Ellie Goulding Pop ( c ) 2015 Covered Records 3:16 -  - 	0
6234	Doin ' My Thing Doin ' My Thing Country , Music , Contemporary Country ‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203 2-Oct-09 - Luke Bryan - 	Doin ' My Thing Luke Bryan Doin ' My Thing Country $ 1.29 3:09 -  - 	1
3349	Remember You ( feat . The Weeknd ) $ 1.99 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 4-Dec-12 - Wiz Khalifa - O.N.I.F.C. ( Deluxe Version )	KK ( feat . Project Pat & Juicy J ) [ Explicit ] $ 1.29 August 19 , 2014 - Wiz Khalifa - Blacc Hollywood ( Deluxe ) [ Explicit ]	0
3549	Turn Around ( 5,4,3,2,1 ) [ AK Remix ] Turn Around ( 5,4,3,2,1 ) [ Remixes ] Dance,Music,Hip-Hop / Rap , Dirty South , Rap , Electronic $ 1.29 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 5:09 - Flo Rida - 	Gdfr ( Feat . Sage The Gemini & Lookas ) [ K. Theory Remix ] Rap & Hip-Hop $ 1.29 3:08 January 21 , 2015 - Flo Rida - Gdfr ( Feat . Sage The Gemini & Lookas ) [ Remixes ]	0
1625	Fake ( Demo ) Us and Them ( Deluxe Version ) Rock , Music , Metal , Hard Rock , Alternative 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 4-Oct-05 - Shinedown - 	Left Out [ Demo ] Shinedown 2015 Mad Decent -  - Leave A Whisper ( Deluxe )	0
2749	Whateva ( feat . Monty ) Fetty Wap Hip-Hop/Rap , Music , Rap 2015 300 Entertainment/RGF Productions -  - Fetty Wap ( Deluxe )	Whateva ( feat . Monty ) [ Clean ] Fetty Wap ( Deluxe ) [ Clean ] $ 1.29 ( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves 5:11 September 25 , 2015 - Fetty Wap - 	1
5409	Every Time You Go Bright Lights ( Deluxe Version ) ‰ ãÑ 2010 Polydor Ltd. ( UK ) 29-Nov-10 - Ellie Goulding - 	I Know You Care $ 1.29 3:26 August 27 , 2013 - Ellie Goulding - Halcyon ( Deluxe )	0
1148	Goner twenty one pilots -  - Blurryface	Goner twenty one pilots Alternative Rock $ 1.29 3:56 -  - Blurryface	1
1262	Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] One Love ( Deluxe Version ) Dance , Music 2010 Gum Prod licence exclusive Parlophone Music France 2:51 21-Aug-09 - David Guetta - 	Gettin ' Over ( Feat . Chris Willis ; Continuous Mix Version ) David Guetta One Love ( Deluxe Version ) Dance & Electronic ( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd August 21 , 2009 -  - 	0
1309	Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) Dance , Music , Rock , House , Electronic , French Pop 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 3:20 24-Nov-14 -  - 	Gettin ' Over You ( Feat . Fergie & Lmfao ) Dance & Electronic ( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd - David Guetta - One Love ( Deluxe Version )	0
5071	Obsession ( feat . JD Davis & Miss B ) Pop Life ( Extended Version ) [ Bonus Version ] Album Only 3:06 18-Sep-07 - David Guetta - 	Gettin ' Over ( Feat . Chris Willis ; Continuous Mix Version ) David Guetta One Love ( Deluxe Version ) Dance & Electronic ( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd 3:31 August 21 , 2009 -  - 	0
317	Epilogue ( feat . George the Poet ) $ 1.29 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd 1:28 6-May-14 - Naughty Boy - Hotel Cabana	Wonder [ feat . Emeli SandÌ © ] Naughty Boy Hotel Cabana ( Deluxe Version ) [ Explicit ] $ 1.29 ( C ) 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd 3:27 -  - 	0
467	Sunburn ( Bonus Track ) #NAME ? - Ed Sheeran - 	Sunburn ( Deluxe Edition ) Ed Sheeran #NAME ? Pop 4:35 September 9 , 2011 -  - 	1
6458	I Do n't Believe You ( Main Version ) $ 1.29 ‰ ãÑ LaFace Recording LLC 4:36 28-Oct-08 - P!NK - Funhouse	I Do n't Believe You P!nk Funhouse ( Explicit ) R&B , Pop ( c ) 2006 Roadshow 4:36 October 28 , 2008 -  - 	1
2841	Crack In the Pearl , Pt . II ( feat . Stevie Wonder & Jeff Bhasker ) Mark Ronson Uptown Special Pop , Music , R&B / Soul , Funk , Soul $ 1.29 2:16 -  - 	Crack In the Pearl Uptown Special [ Clean ] January 13 , 2015 - Mark Ronson - 	0
5085	You & Me ( feat . Eliza Doolittle ) Disclosure Settle ( Deluxe Version ) Electronic , Music 15-Apr-14 -  - 	Defeated No More [ feat . Edward Macfarlane ] Settle Electronica , Dance & Electronic June 11 , 2013 - Disclosure - 	0
1183	Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] One Love ( Deluxe Version ) 2:51 - David Guetta - 	I Wan na Go Crazy ( Feat . Will.I.Am ; Extended ; Continuous Mix Version ) 4:54 August 21 , 2009 - David Guetta - One Love ( Deluxe Version )	0
2742	Whateva ( feat . Monty ) Fetty Wap ( Deluxe ) Hip-Hop/Rap , Music , Rap 2015 300 Entertainment/RGF Productions 5:11 - Fetty Wap - 	My Way ( feat . Monty ) [ Explicit ] Fetty Wap Rap & Hip-Hop $ 1.29 -  - Fetty Wap [ Explicit ]	0
2459	O Little Town of Bethlehem All I Want for Christmas Is a Real Good Tan Holiday , Music , Country , Honky Tonk , Contemporary Country , Christmas 4:18 4-Oct-03 - Kenny Chesney - 	Sweet Little Jesus Boy 3:04 August 17 , 2000 - Kenny Rogers - Christmas Greetings	0
3573	Why You Up In Here ( feat . Ludacris , Git Fresh & Gucci Mane ) 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 3:36 - Flo Rida - Only One Flo , Pt. 1	Street Money ( feat . Rick Ross ) [ Explicit ] Welcome to Flo Rida [ Explicit ] Rap & Hip-Hop $ 0.99 2015 CMG Records 3:57 April 6 , 2015 - Flo Rida - 	0
1344	Beautiful Now ( feat . Jon Bellion ) [ Charlie Darker Remix ] Beautiful Now ( feat . Jon Bellion ) [ Remixes ] - EP Dance , Music - Zedd - 	Clarity ( Zedd Union Mix ) [ feat . Foxes ] Zedd Clarity ( Remixes ) Dance & Electronic $ 1.29 3:28 February 12 , 2013 -  - 	0
6218	We Run Sugarland Love On the Inside ( Deluxe Fan Edition ) Country , Music , Rock , Contemporary Country , Southern Rock , Contemporary Bluegrass $ 1.29 3:55 22-Jul-08 -  - 	We Run $ 1.29 - Sugarland - Love On The Inside	1
1159	Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] David Guetta One Love ( Deluxe Version ) Dance , Music 21-Aug-09 -  - 	S.T.O.P ( feat . Ryan Tedder ) David Guetta Dance & Electronic November 24 , 2014 -  - Listen ( Deluxe )	0
3360	That Good Snoop Dogg & Wiz Khalifa Soundtrack,Music,Hip-Hop / Rap , Hardcore Rap , West Coast Rap , Gangsta Rap , Rap , Soundtrack $ 1.29 3:48 -  - Mac and Devin Go to High School ( Music from and Inspired By the Movie )	I 'm Good [ Explicit ] Wiz Khalifa Flight School [ Explicit ] 2013 Mad Decent 2:32 -  - 	0
1317	I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) Nothing But the Beat Dance , Music , House , Electronic , Rock $ 1.29 2011 What A Music Ltd , Licence exclusive Parlophone Music France - David Guetta - 	Little Bad Girl ( Feat . Taio Cruz & Ludacris ) [ Explicit ] David Guetta Dance & Electronic $ 1.29 August 26 , 2011 -  - Nothing But The Beat	0
1151	Truce twenty one pilots -  - Vessel	Truce twenty one pilots Alternative Rock , Indie & Lo-Fi ( C ) 2000 Columbia Pictures Industries , Inc. January 4 , 2013 -  - Vessel	1
1579	Second Chance ( Live Acoustic from Kansas City ) Somewhere In the Stratosphere ( Live ) $ 1.29 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . - Shinedown - 	Diamond Eyes ( Boom-Lay Boom-Lay Boom ) [ Live From Washington State ] Shinedown $ 1.29 5:44 -  - Somewhere In The Stratosphere	0
252	VHS Outro ( Interlude ) X Ambassadors VHS Alternative , Music , Rock , Adult Alternative 2015 KIDinaKORNER/Interscope Records 1:25 -  - 	Smoke ( Interlude ) [ Explicit ] ( C ) 2015 KIDinaKORNER/Interscope Records - X Ambassadors - VHS [ Explicit ]	0
2399	That Lucky Old Sun ( Just Rolls Around Heaven All Day ) [ With Willie Nelson ] Kenny Chesney & Willie Nelson 4:16 2008 -  - Lucky Old Sun	That Lucky Old Sun ( Just Rolls Around Heaven All Day ( with Willie Nelson ) ) Country , Contemporary Country $ 0.99 ( P ) 2008 Blue Chair Records , LLC 4:16 - Kenny Chesney - Lucky Old Sun	1
1260	Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] 2010 Gum Prod licence exclusive Parlophone Music France 2:51 - David Guetta - One Love ( Deluxe Version )	Missing You ( Feat . Novel ; Continuous Mix Version ) David Guetta One Love ( Deluxe Version ) Dance & Electronic $ 1.29 ( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd 4:59 August 21 , 2009 -  - 	0
4980	Hurt a Lot Worse When You Go Toby Keith ‰ ãÑ 2011 TriPower -  - Beyond The Hits , Vol . 1	Days Go By Keith Urban Greatest Hits - 18 Kids $ 1.29 å © 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash 3:49 -  - 	0
1489	Through the Ghost $ 1.29 4:01 23-Mar-12 - Shinedown - Amaryllis	Through The Ghost Amaryllis $ 1.29 Krankbrother March 23 , 2012 - Shinedown - 	1
5079	White Noise ( feat . AlunaGeorge ) Disclosure Electronic , Music $ 1.29 ‰ ãÑ 2014 Universal Island Records , a division of Universal Music Operations Limited 15-Apr-14 -  - Settle ( Deluxe Version )	Voices ( Wookie Remix ) [ feat . Sasha Keable ] Disclosure Settle ( The Remixes ) Electronica , Dance & Electronic 5:33 -  - 	0
1193	The Whisperer ( feat . Sia ) Listen $ 1.29 3:54 - David Guetta - 	Goodbye Friend ( feat . The Script ) David Guetta Dance & Electronic $ 1.29 November 24 , 2014 -  - Listen ( Deluxe )	0
2987	Blame ( feat . John Newman ) [ BURNS Remix ] Blame ( Remixes ) [ feat . John Newman ] - EP $ 1.29 2014 Sony Music Entertainment UK Limited 4:17 10-Nov-14 - Calvin Harris - 	Pray to God ( R3hab Remix ) Pray to God ( Remixes ) $ 1.29 September 25 , 2015 - Calvin Harris feat . HAIM - 	0
2809	Otherside Remix ( Live ) Otherside Remix ( Live ) - Single Hip-Hop/Rap , Music 2011 Macklemore , LLC 31-Aug-11 - Macklemore & Ryan Lewis - 	English Girls Approximately ( Live in London 2 ) Ryan Adams Live After Deaf ( London 2 ) Folk , Rock $ 0.99 -  - 	0
3093	Electro Man I Created Disco Electronic , Music , Pop , Dance , Rock $ 0.99 2007 SONY BMG MUSIC ENTERTAINMENT ( UK ) Limited - Calvin Harris - 	Electro Man - Calvin Harris - I Created Disco	1
1278	Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] David Guetta One Love ( Deluxe Version ) $ 1.29 2010 Gum Prod licence exclusive Parlophone Music France -  - 	When Love Takes Over ( Feat . Kelly Rowland ; Electro Extended ; Continuous Mix Version ) Dance & Electronic $ 1.29 4:23 August 21 , 2009 - David Guetta - One Love ( Deluxe Version )	0
1343	Find You ( feat . Matthew Koma & Miriam Bryant ) [ Mike Hawkins Remix ] Zedd $ 1.29 2014 Interscope Records 4:26 8-Apr-14 -  - Find You ( Remixes )	Beautiful Now ( KDrew Remix ) [ feat . Jon Bellion ] Dance & Electronic $ 1.29 ( C ) 2015 Interscope Records 3:59 - Zedd - Beautiful Now ( Remixes )	0
508	Afire Love Ed Sheeran 5:14 20-Jun-14 -  - x	Afire Love Ed Sheeran 5:14 -  - x	1
6624	This Love ( Karaoke Version ) Pop , Music 4:07 3-Mar-15 - Taylor Swift - Taylor Swift Karaoke : 1989	This Love 1989 Pop ( C ) 2014 Big Machine Records , LLC . 4:10 October 27 , 2014 - Taylor Swift - 	0
4761	Stay the Night ( feat . Hayley Williams ) Album Only - Zedd - NOW That 's What I Call Music , Vol . 49	Beautiful Now ( Zonderling Remix ) [ feat . Jon Bellion ] Beautiful Now ( Remixes ) - Zedd - 	0
642	I 've Got All This Ringing In My Ears and None On My Fingers Fall Out Boy Infinity On High $ 0.99 2007 The Island Def Jam Music Group 4:06 6-Feb-07 -  - 	I 've Got All This Ringing In My Ears And None On My Fingers Fall Out Boy Infinity On High Rock $ 0.99 February 6 , 2007 -  - 	1
