company_name,year_founded,company_age,industry,sector,business_category,headquarters_city,ownership,_source_table
Nestle Ag,,[],,,"[""['Consumer Defensive'"", ""'FMCG'"", ""'Food Products'"", ""'Beverages'"", ""'Dairy Products'"", ""'Non-Alcoholic Beverages'"", ""'Chocolate & Confectionery'"", ""'Coffee'"", ""'Consumer Non Durables'"", ""'Food and Beverage'"", ""'Package Foods']""]",['Vevey'],,valueToday_dataset
Kweichow Moutai,,[],,,"[""['Consumer Defensive'"", ""'Beverages'"", ""'Alcoholic Beverages'"", ""'Food Products'"", ""'FMCG'"", ""'Food and Beverage']""]",['Maotai'],,valueToday_dataset
Adobe,,[],,,"[""['Technology'"", ""'Software and IT'"", ""'Software Products'"", ""'Software and IT Infrastructure'"", ""'Artificial Intelligence']""]",['California'],,valueToday_dataset
Eli Lilly And Company,,[],,,"[""['Healthcare'"", ""'Pharmaceutical'"", ""'Biotechnology'"", ""'HealthCare Products'"", ""'Healthcare Service'"", ""'Technology']""]",['Indiana'],,valueToday_dataset
Nike,,[],,,"[""['Consumer Cyclical'"", ""'Shoes'"", ""'Footwear'"", ""'Sports Goods'"", ""'Consumer Non Durables']""]",['Oregon'],,valueToday_dataset
L'oreal,,[],,,"[""['Consumer Defensive'"", ""'Cosmetics'"", ""'Beauty and Personal Care'"", ""'FMCG'"", ""'Consumer Non Durables'"", ""'Consumer Goods']""]",['Clichy'],,valueToday_dataset
Icbc,,[],,,"[""['Financial Services'"", ""'Banking Services'"", ""'Investment Banking']""]",['Beijing'],,valueToday_dataset
Prosus,,[],,,"[""['Communication Services'"", ""'Internet or Mobile App Based Business'"", ""'eCommerce'"", ""'Technology'"", ""'Investments']""]",['Amsterdam'],,valueToday_dataset
Broadcom,,[],,,"[""['Technology'"", ""'Electronics'"", ""'Semiconductors'"", ""'Processors / Chips'"", ""'Networking Products / Solutions'"", ""'Network Hardware and Software'"", ""'Software Products'"", ""'Software and IT']""]",['California'],,valueToday_dataset
Cisco Systems,,[],,,"[""['Technology'"", ""'Network Hardware and Software'"", ""'Telecom Equipment'"", ""'Internet of Things'"", ""'Computers Hardware'"", ""'Software and IT'"", ""'Communications Equipment']""]",['California'],,valueToday_dataset
Coca-cola Company,,[],,,"[""['Consumer Defensive'"", ""'Beverages'"", ""'Non-Alcoholic Beverages'"", ""'FMCG'"", ""'Consumer Non Durables']""]",['Georgia'],,valueToday_dataset
Toyota Motor Corporation,,[],,,"[""['Automobile'"", ""'Cars'"", ""'Capital Goods'"", ""'Passenger Vehicles']""]",['Aichi'],,valueToday_dataset
Oracle Corporation,,[],,,"[""['Technology'"", ""'Software and IT'"", ""'Software Products'"", ""'Cloud Services'"", ""'Software and IT Infrastructure']""]",['California'],,valueToday_dataset
Accenture,,[],,,"[""['Technology'"", ""'Software and IT'"", ""'Software Products'"", ""'Software Consulting Services'"", ""'Software Outsourcing Services'"", ""'Business Services'"", ""'Consulting Services'"", ""'Outsourcing and Staffing'"", ""'Artificial Intelligence']""]",['Dublin'],,valueToday_dataset
Costco Wholesale Corporation,,[],,,"[""['Consumer Defensive'"", ""'Retail'"", ""'eCommerce'"", ""'Food Service'"", ""'Hypermarkets'"", ""'Consumer Services'"", ""'Travel and Transport']""]",['Washington'],,valueToday_dataset
Abbvie,,[],,,"[""['Healthcare'"", ""'Pharmaceutical'"", ""'Biotechnology'"", ""'HealthCare Products'"", ""'Healthcare Service'"", ""'Technology']""]",['Illinois'],,valueToday_dataset
Thermo Fisher Scientific,,[],,,"[""['Healthcare'"", ""'Medical Equipment'"", ""'Pharmaceutical'"", ""'Technology Hardware and Instruments'"", ""'Electronics'"", ""'Software Products'"", ""'Biotechnology'"", ""'Capital Goods'"", ""'Machinery Manufacturing'"", ""'Software and IT'"", ""'Technology'"", ""'Manufacturing'"", ""'Health Care Diagnostics']""]",['Massachusetts'],,valueToday_dataset
Tata Group,,[],,,[],['Mumbai'],,valueToday_dataset
Netflix,,[],,,"[""['Communication Services'"", ""'Electronics'"", ""'Internet or Mobile App Based Business'"", ""'Media'"", ""'Advertising'"", ""'Television Services'"", '""TV\'s""', ""'Entertainment'"", ""'Artificial Intelligence']""]",['California'],,valueToday_dataset
Abbott Laboratories,,[],,,"[""['Healthcare'"", ""'Pharmaceutical'"", ""'Biotechnology'"", ""'HealthCare Products'"", ""'Healthcare Service'"", ""'Technology'"", ""'Medical Equipment']""]",['Illinois'],,valueToday_dataset
Pepsico,,[],,,"[""['Consumer Defensive'"", ""'Beverages'"", ""'Food Products'"", ""'FMCG'"", ""'Consumer Non Durables'"", ""'Food and Beverage'"", ""'Non-Alcoholic Beverages']""]",['New York'],,valueToday_dataset
Chevron Corporation,,[],,,"[""['Energy'"", ""'Oil and Gas'"", ""'Chemicals'"", ""'Natural Gas Generation'"", ""'Petrochemicals'"", ""'Electricity Generation']""]",['California'],,valueToday_dataset
Novo Nordisk A/s,,[],,,"[""['Healthcare'"", ""'Pharmaceutical'"", ""'Biotechnology'"", ""'HealthCare Products'"", ""'Healthcare Service'"", ""'Technology']""]",['Bagsvaerd'],,valueToday_dataset
Merck & Co,,[],,,"[""['Healthcare'"", ""'Pharmaceutical'"", ""'Animal Healthcare Companies'"", ""'Animal Health Medicine'"", ""'Biotechnology'"", ""'HealthCare Products'"", ""'Healthcare Service'"", ""'Technology']""]",['New Jersey'],,valueToday_dataset
Danaher Corporation,,[],,,"[""['Healthcare'"", ""'Medical Equipment'"", ""'HealthCare Products'"", ""'Machinery Manufacturing'"", ""'Capital Goods'"", ""'Technology'"", ""'Manufacturing'"", ""'Health Care Diagnostics']""]",['Washington'],,valueToday_dataset
Intel Corporation,,[],,,"[""['Technology'"", ""'Software and IT'"", ""'Technology Hardware and Instruments'"", ""'Processors / Chips'"", ""'Computers Hardware'"", ""'Semiconductors'"", ""'Mobiles & Accessories'"", ""'Memory Products'"", ""'Artificial Intelligence'"", ""'Internet of Things'"", ""'Electronics'"", ""'Consumer Electronics'"", ""'Software Products']""]",['California'],,valueToday_dataset
Wells Fargo & Company,,[],,,"[""['Financial Services'"", ""'Banking Services'"", ""'Insurance'"", ""'Credit Cards'"", ""'Asset Management']""]",['California'],,valueToday_dataset
Paypal Holdings,,[],,,"[""['Financial Services'"", ""'Digital Payment Solution Services'"", ""'Internet or Mobile App Based Business'"", ""'Software Products'"", ""'Business Services'"", ""'Software and IT']""]",['California'],,valueToday_dataset
Reliance Industries,,[],,,"[""['Energy'"", ""'Conglomerate'"", ""'Oil and Gas'"", ""'Chemicals'"", ""'Telecom'"", ""'Retail'"", ""'Petrochemicals'"", ""'Textile'"", ""'eCommerce'"", ""'Super Markets'"", ""'Technology']""]",['Mumbai'],,valueToday_dataset
Salesforce.com,,[],,,"[""['Technology'"", ""'Cloud Services'"", ""'Artificial Intelligence'"", ""'Software Products'"", ""'Software and IT']""]",['California'],,valueToday_dataset
Verizon Communications,,[],,,"[""['Communication Services'"", ""'Telecom'"", ""'Fixed Line Service'"", ""'Mobile Services'"", ""'Internet Providers'"", ""'Television Services'"", ""'Media'"", ""'Advertising'"", ""'Utilities'"", ""'Telecom Equipment']""]",['New York'],,valueToday_dataset
Comcast Corporation,,[],,,"[""['Communication Services'"", ""'Television Services'"", ""'Broadcasting'"", ""'Telecom'"", ""'Internet Providers'"", ""'Media'"", ""'Advertising'"", ""'Consumer Services'"", ""'Entertainment'"", ""'Cable Operator']""]",['Pennsylvania'],,valueToday_dataset
China Construction Bank Corporation,,[],,,"[""['Financial Services'"", ""'Banking Services']""]",['Beijing'],,valueToday_dataset
Morgan Stanley,,[],,,"[""['Financial Services'"", ""'Banking Services'"", ""'Trading'"", ""'Brokerage Services'"", ""'Wealth Management'"", ""'Investments'"", ""'Asset Management'"", ""'Stock Markets"", 'Trading', ""Capital Markets']""]",['New York'],,valueToday_dataset
At&t,,[],,,"[""['Telecom'"", ""'Communication Services'"", ""'Internet Providers'"", ""'Mobile Services'"", ""'Fixed Line Service'"", ""'Television Services'"", ""'Media'"", ""'Advertising'"", ""'Utilities'"", ""'Telecom Equipment']""]",['Texas'],,valueToday_dataset
United Parcel Service (ups),,[],,,"[""['Industries'"", ""'Courier'"", ""'Logistics'"", ""'Transportation'"", ""'Freight Transport']""]",['Georgia'],,valueToday_dataset
Tata Consultancy Services (tcs),,[],,,"[""['Technology'"", ""'Software and IT'"", ""'Software Consulting Services'"", ""'Software Outsourcing Services'"", ""'Software Products'"", ""'Consulting Services'"", ""'Outsourcing and Staffing']""]",['Mumbai'],,valueToday_dataset
Contemporary Amperex Technology,,[],,,"[""['Industries'"", ""'Batteries'"", ""'Automobile Parts'"", ""'Electronics'"", ""'Technology'"", ""'Electric Vehicles'"", ""'Electrical Products']""]",['Fujian'],,valueToday_dataset
Mcdonald's Corporation,,[],,,"[""['Consumer Cyclical'"", ""'Restaurants'"", ""'Food Products'"", ""'Non-Alcoholic Beverages'"", ""'Consumer Services'"", ""'Entertainment'"", ""'Beverages']""]",['Illinois'],,valueToday_dataset
China Merchants Bank,,[],,,"[""['Financial Services'"", ""'Banking Services'"", ""'Asset Management'"", ""'Credit Cards']""]",['Shenzhen'],,valueToday_dataset
Novartis Ag,,[],,,"[""['Healthcare'"", ""'Pharmaceutical'"", ""'Biotechnology'"", ""'HealthCare Products'"", ""'Healthcare Service'"", ""'Technology']""]",['Basel'],,valueToday_dataset
Qualcomm,,[],,,"[""['Technology'"", ""'Semiconductors'"", ""'Electronics'"", ""'Technology Hardware and Instruments'"", ""'Telecom Equipment'"", ""'Processors / Chips'"", ""'Connectivity Technology'"", ""'Artificial Intelligence'"", ""'Internet of Things'"", ""'Software Products'"", ""'Software and IT']""]",['California'],,valueToday_dataset
The Charles Schwab Corporation,,[],,,"[""['Financial Services'"", ""'Banking Services'"", ""'Brokerage Services'"", ""'Asset Management'"", ""'Investments'"", ""'Stock Markets"", 'Trading', ""Capital Markets']""]",['California'],,valueToday_dataset
Astrazeneca,,[],,,"[""['Healthcare'"", ""'Pharmaceutical'"", ""'Biopharmaceutical'"", ""'Biotechnology'"", ""'HealthCare Products'"", ""'Technology']""]",['Cambridge'],,valueToday_dataset
Royal Dutch Shell,,[],,,"[""['Energy'"", ""'Oil and Gas'"", ""'Chemicals'"", ""'Natural Gas Generation'"", ""'Electricity Generation'"", ""'Petrochemicals'"", ""'Electric Vehicle Charging Station']""]",['Hague'],,valueToday_dataset
Bhp Group,,[],,,"[""['Basic Materials'"", ""'Metals'"", ""'Mining'"", ""'Iron and Steel'"", ""'Oil and Gas'"", ""'Coal Mining'"", ""'Copper Mining'"", ""'Nickel'"", ""'Natural Gas Generation'"", ""'Precious Metals']""]",['Melbourne'],,valueToday_dataset
Union Pacific Corporation,,[],,,"[""['Industries'"", ""'Freight Transport'"", ""'Transportation'"", ""'Railway'"", ""'Railway Vehicles and Railway Components'"", ""'Infrastructure']""]",['Nebraska'],,valueToday_dataset
Texas Instruments,,[],,,"[""['Technology'"", ""'Semiconductors'"", ""'Electronics'"", ""'Processors / Chips'"", ""'Sensors']""]",['Texas'],,valueToday_dataset
Lowe's Companies,,[],,,"[""['Consumer Cyclical'"", ""'Retail'"", ""'Home Furnishing'"", ""'Home & Furniture'"", ""'Consumer Services']""]",['North Carolina'],,valueToday_dataset
Nextera Energy,,[],,,"[""['Utilities'"", ""'Electricity Generation'"", ""'Electric Utilities'"", ""'Utilities'"", ""'Renewable Energy'"", ""'Solar Power'"", ""'Wind Power'"", ""'Power Generation'"", ""'Energy']""]",['Florida'],,valueToday_dataset
Linde Ag,,[],,,"[""['Basic Materials'"", ""'Chemicals'"", ""'Industrial Gases']""]",[],,valueToday_dataset
Hermes International,,[],,,"[""['Consumer Cyclical'"", ""'Luxury Goods'"", ""'Retail'"", ""'Fashion and Luxury Goods'"", ""'Beauty and Personal Care'"", ""'Home & Furniture'"", ""'Home Furnishing'"", ""'Shoes'"", ""'Jewellery'"", ""'Watches'"", ""'Leather Products'"", ""'FMCG'"", ""'Consumer Goods']""]",['Paris'],,valueToday_dataset
Honeywell International,,[],,,"[""['Industries'"", ""'Software Products'"", ""'Technology Hardware and Instruments'"", ""'Aerospace Products'"", ""'Building Automation'"", ""'Engineering Products'"", ""'Automobile Parts'"", ""'Electronics'"", ""'Robotics'"", ""'Automation'"", ""'Automobile'"", ""'Software and IT'"", ""'Aerospace and Defense'"", ""'Technology'"", ""'Space Products']""]",['New Jersey'],,valueToday_dataset
Ping An Insurance (group) Company Of China,,[],,,"[""['Financial Services'"", ""'Banking Services'"", ""'Insurance']""]",['Shenzhen'],,valueToday_dataset
Philip Morris International,,[],,,"[""['Consumer Defensive'"", ""'Tobacco Products'"", ""'Cigarettes'"", ""'Agriculture Products'"", ""'FMCG'"", ""'Consumer Non Durables'"", ""'Tobacco and Cigarette']""]",['New York'],,valueToday_dataset
Sony Corporation,,[],,,"[""['Technology'"", ""'Electronics'"", ""'Mobiles'"", ""'Gaming'"", ""'Video Games / Mobile Games / Tech Games / Casino Games'"", ""'Cameras & Accessories'"", ""'Technology Hardware and Instruments'"", '""TV\'s""', ""'Consumer Electronics'"", ""'Mobiles & Accessories']""]",['Tokyo'],,valueToday_dataset
Advanced Micro Devices (amd),,[],,,"[""['Technology'"", ""'Technology Hardware and Instruments'"", ""'Processors / Chips'"", ""'Semiconductors'"", ""'Electronics']""]",['Maryland'],,valueToday_dataset
Royal Bank Of Canada,,[],,,"[""['Financial Services'"", ""'Banking Services'"", ""'Wealth Management'"", ""'Asset Management'"", ""'Credit Cards'"", ""'Mortgage'"", ""'Insurance']""]",['Montreal'],,valueToday_dataset
Meituan Dianping,,[],,,"[""['Consumer Cyclical'"", ""'Internet or Mobile App Based Business'"", ""'Software and IT'"", ""'Retail'"", ""'eCommerce']""]",['Beijing'],,valueToday_dataset
Intuit,,[],,,"[""['Technology'"", ""'Software and IT'"", ""'Software Products']""]",['California'],,valueToday_dataset
Agricultural Bank Of China,,[],,,"[""['Financial Services'"", ""'Banking Services']""]",['Beijing'],,valueToday_dataset
Sap Se,,[],,,"[""['Technology'"", ""'Software and IT'"", ""'Software Products'"", ""'Internet of Things'"", ""'Cloud Services']""]",['Walldorf'],,valueToday_dataset
Cvs Health Corporation,,[],,,"[""['Healthcare'"", ""'Pharmacy'"", ""'Healthcare Service'"", ""'Retail'"", ""'HealthCare Products'"", ""'Insurance']""]",['Rhode Island'],,valueToday_dataset
Totalenergies Se,,[],,,"[""['Energy'"", ""'Oil and Gas'"", ""'Chemicals'"", ""'Natural Gas Generation'"", ""'Power Generation'"", ""'Electricity Generation'"", ""'Oil Refining']""]",['Courbevoie'],,valueToday_dataset
Siemens,,[],,,"[""['Industries'"", ""'Infrastructure'"", ""'Technology Hardware and Instruments'"", ""'Software and IT'"", ""'Railway Vehicles and Railway Components'"", ""'Engineering Products'"", ""'Medical Equipment'"", ""'Software Products'"", ""'Security Systems and Solutions'"", ""'Artificial Intelligence'"", ""'Machinery Manufacturing'"", ""'Conglomerate'"", ""'Railway'"", ""'Technology'"", ""'Electric Vehicle Charging Station']""]",['Berlin'],,valueToday_dataset
Bristol-myers Squibb Company,,[],,,"[""['Healthcare'"", ""'Pharmaceutical'"", ""'Biopharmaceutical'"", ""'Biotechnology'"", ""'HealthCare Products'"", ""'Technology']""]",['New York'],,valueToday_dataset
Medtronic,,[],,,"[""['Healthcare'"", ""'Medical Equipment'"", ""'Biotechnology'"", ""'Electronics'"", ""'HealthCare Products'"", ""'Healthcare Service'"", ""'Technology']""]",['Dublin'],,valueToday_dataset
Keyence Corporation,,[],,,"[""['Technology'"", ""'Sensors'"", ""'Machinery Manufacturing'"", ""'Technology Hardware and Instruments'"", ""'Electronics'"", ""'Manufacturing']""]",['Osaka'],,valueToday_dataset
Shopify,,[],,,"[""['Technology'"", ""'Software and IT'"", ""'Software Products'"", ""'Cloud Services'"", ""'eCommerce'"", ""'Internet or Mobile App Based Business']""]",['Ontario'],,valueToday_dataset
Christian Dior,,[],,,"[""['Consumer Cyclical'"", ""'Retail'"", ""'Luxury Goods'"", ""'Fashion and Luxury Goods'"", ""'Watches'"", ""'Beauty and Personal Care'"", ""'Leather Products'"", ""'Jewellery'"", ""'FMCG'"", ""'Consumer Non Durables'"", ""'Consumer Goods']""]",['Paris'],,valueToday_dataset
Petrochina Company,,[],,,"[""['Energy'"", ""'Oil and Gas'"", ""'Petrochemicals'"", ""'Natural Gas Generation'"", ""'Chemicals']""]",['Beijing'],,valueToday_dataset
Toronto-dominion Bank,,[],,,"[""['Financial Services'"", ""'Banking Services'"", ""'Insurance']""]",['Toronto'],,valueToday_dataset
Unilever Group,,[],,,"[""['Consumer Defensive'"", ""'FMCG'"", ""'Beauty and Personal Care'"", ""'Food Products'"", ""'Home Care Products'"", ""'Consumer Non Durables']""]",['Rotterdam'],,valueToday_dataset
Hsbc Holdings,,[],,,"[""['Financial Services'"", ""'Banking Services'"", ""'Insurance'"", ""'Asset Management']""]",['London'],,valueToday_dataset
Applied Materials,,[],,,"[""['Power Equipment'"", ""'Mobiles & Accessories'"", ""'Semiconductors']""]",['California'],,valueToday_dataset
Volkswagen,,[],,,"[""['Consumer Cyclical'"", ""'Automobile'"", ""'Cars'"", ""'Commercial Vehicles'"", ""'Sports Vehicles'"", ""'Passenger Vehicles']""]",['Berlin'],,valueToday_dataset
American Express Company,,[],,,"[""['Financial Services'"", ""'Banking Services'"", ""'Credit Cards'"", ""'Technology'"", ""'Digital Payment Solution Services']""]",['New York'],,valueToday_dataset
Raytheon Technologies Corporation,,[],,,"[""['Industries'"", ""'Aerospace and Defense'"", ""'Aerospace Products'"", ""'Aircraft Parts'"", ""'Defense Products'"", ""'Elevators'"", ""'Escalators'"", ""'Building Automation'"", ""'Security Systems and Solutions'"", ""'Capital Goods'"", ""'Automation'"", ""'Space Products']""]",['Connecticut'],,valueToday_dataset
Schwarz Group,,[],,,"[""['Retail'"", ""'Super Markets'"", ""'Hypermarkets']""]",[],,valueToday_dataset
Blackrock,,[],,,"[""['Financial Services'"", ""'Asset Management'"", ""'Investments']""]",['New York'],,valueToday_dataset
Bank Of China,,[],,,"[""['Financial Services'"", ""'Banking Services'"", ""'Insurance'"", ""'Asset Management']""]",['Beijing'],,valueToday_dataset
T-mobile Us,,[],,,"[""['Communication Services'"", ""'Telecom'"", ""'Mobile Services'"", ""'Internet Providers'"", ""'Utilities'"", ""'Telecom Equipment']""]",['Washington'],,valueToday_dataset
Starbucks Corporation,,[],,,"[""['Consumer Cyclical'"", ""'Restaurants'"", ""'Retail'"", ""'Non-Alcoholic Beverages'"", ""'Coffee'"", ""'Beverages'"", ""'Consumer Services']""]",['Washington'],,valueToday_dataset
Sanofi,,[],,,"[""['Healthcare'"", ""'Pharmaceutical'"", ""'HealthCare Products']""]",['Paris'],,valueToday_dataset
Boeing Company,,[],,,"[""['Industries'"", ""'Aeroplane'"", ""'Defense Products'"", ""'Rockets'"", ""'Missiles'"", ""'Satellites'"", ""'Space Products'"", ""'Aerospace Products'"", ""'Aircrafts'"", ""'Capital Goods'"", ""'Aerospace and Defense'"", ""'Technology']""]",['Illinois'],,valueToday_dataset
Estee Lauder Companies,,[],,,"[""['Consumer Defensive'"", ""'FMCG'"", ""'Personal Care Products'"", ""'Beauty and Personal Care'"", ""'Cosmetics'"", ""'Consumer Non Durables']""]",['New York'],,valueToday_dataset
Youtube,,[],,,"[""['Social Media'"", ""'Internet or Mobile App Based Business'"", ""'Technology'"", ""'Artificial Intelligence']""]",[],,valueToday_dataset
Amgen,,[],,,"[""['Healthcare'"", ""'Pharmaceutical'"", ""'Biopharmaceutical'"", ""'Biotechnology'"", ""'HealthCare Products'"", ""'Technology']""]",['California'],,valueToday_dataset
China Mobile,,[],,,"[""['Communication Services'"", ""'Telecom'"", ""'Internet Providers'"", ""'Mobile Services'"", ""'Fixed Line Service'"", ""'Television Services'"", ""'Utilities'"", ""'Telecom Equipment']""]",['Beijing'],,valueToday_dataset
Citi Group,,[],,,"[""['Financial Services'"", ""'Banking Services'"", ""'Asset Management']""]",['New York'],,valueToday_dataset
Wuliangye Yibin,,[],,,"[""['Consumer Defensive'"", ""'Alcoholic Beverages'"", ""'Beverages']""]",['Sichuan'],,valueToday_dataset
The Goldman Sachs Group,,[],,,"[""['Financial Services'"", ""'Banking Services'"", ""'Asset Management'"", ""'Investments'"", ""'Brokerage Services'"", ""'Securities'"", ""'Stock Markets"", 'Trading', ""Capital Markets']""]",['New York'],,valueToday_dataset
Hdfc Bank,,[],,,"[""['Financial Services'"", ""'Banking Services']""]",['Mumbai'],,valueToday_dataset
Intuitive Surgical,,[],,,"[""['Healthcare'"", ""'Medical Equipment'"", ""'HealthCare Products'"", ""'Robotics']""]",['California'],,valueToday_dataset
