company_name_left,industry_left,headquarters_city_left,company_name_right,industry_right,headquarters_city_right,label
the trade desk,"['software', 'internet', 'tech']",,the travelers companies,"['dow jones', 'insurance']",,0
the saudi british bank,"['banks', 'financial services']",,the saudi national bank,"['banks', 'financial services']",,0
markel,"['insurance', 'investment']",,markel careers,insurance,glen allen,0
telenor,['telecommunication'],,telenor bulgaria,telecommunications,,0
smith & nephew,['medical equipment'],,smith & nephew healthcare,medical equipment,,0
dlf,['real estate'],,dlf home developers,real estate,,0
air canada,"['airlines', 'travel', 'transportation']",,air china,"['airlines', 'travel', 'transportation']",,0
provident financial holdings,"['banks', 'financial services']",,provident financial services,"['banks', 'financial services']",,0
gaming corps,"['video games', 'entertainment']",,gaming factory,"['video games', 'entertainment']",,0
bionomics,"['pharmaceuticals', 'biotech']",,biontech,"['pharmaceuticals', 'mrna therapeutics', 'biotech']",,0
jounce therapeutics,"['pharmaceuticals', 'biotech']",,journey medical,"['pharmaceuticals', 'biotech']",,0
provident bancorp,"['banks', 'financial services']",,provident financial holdings,"['banks', 'financial services']",,0
merrimack pharmaceuticals,"['pharmaceuticals', 'biotech']",,mersana therapeutics,['pharmaceuticals'],,0
first internet bancorp,['financial services'],,first investment bank,financials,,0
ocwen,['financial services'],,ocwen financial solutions,financial services,,0
park aerospace,['aerospace'],,park city group,"['software', 'tech']",,0
akouos,"['biotech', 'pharmaceuticals', 'gene therapy', 'genomics']",,akoya biosciences,"['biotech', 'scientific & technical instruments']",,0
doubleugames,"['video games', 'entertainment']",,doubleverify,"['advertising', 'software', 'tech']",,0
allego,"['ev charging', 'electricity', 'energy']",,allegro microsystems,"['semiconductors', 'tech', 'tech hardware']",,0
dah sing banking group,"['banks', 'financial services']",,dah sing financial,"['banks', 'financial services']",,0
first busey,"['banks', 'financial services']",,first business financial services,['financial services'],,0
national bank holdings,"['banks', 'financial services']",,national bank of canada,"['banks', 'financial services']",,0
first bancorp,"['banks', 'financial services']",,first busey,"['banks', 'financial services']",,0
first national financial,['financial services'],,first national of nebraska,"['banks', 'financial services']",,0
granite construction,"['building materials', 'construction']",,granite point mortgage trust,"['real estate', 'financial services']",,0
telenet,['telecommunication'],,telenor,telecom,,0
telenet,['telecommunication'],,telenor,['telecommunication'],,0
oceaneering international,"['engineering', 'professional services']",,oceanfirst financial,"['financial services', 'banks']",,0
the cheesecake factory,"['food', 'restaurant chains']",,the chefs' warehouse,['food'],,0
delek logistics partners,"['oil&gas', 'energy', 'oil & gas equipment & services']",,delek us,"['oil&gas', 'energy']",,0
bank of maharashtra,"['banks', 'financial services']",,bank of montreal,"['banks', 'financial services']",,0
rumble,"['internet', 'tech']",,rumbleon,"['internet', 'tech']",,0
freenet,['telecommunication'],,freenet.de,telecommunications,,0
immunocore,"['biotech', 'pharmaceuticals']",,immunogen,['pharmaceuticals'],,0
suntec reit,"['real estate', 'investment', 'reits']",,sunteck realty,real estate,,0
suntec reit,"['real estate', 'investment', 'reits']",,sunteck realty,"['real estate', 'construction']",,0
playtika,"['video games', 'tech', 'entertainment']",,playway,"['video games', 'entertainment', 'tech']",,0
indoritel,"['telecommunication', 'retail', 'investment']",,indosat,['telecommunication'],,0
cytokinetics,"['pharmaceuticals', 'biotech']",,cytosorbents,"['pharmaceuticals', 'biotech']",,0
fonciere paris nord,,paris,foncière vindi sa,,paris,0
fonciere 7 invest,,paris,fonciere euris sa,,paris,0
shanghai waigaoqiao free trade zone group co. ltd,,shanghai,"shanghai wanye enterprises co.,ltd",,shanghai,0
shenzhen kingdom sci-tech co. ltd,,shenzhen,shenzhen kinwong electronic co. ltd,,shenzhen,0
shanghai jin jiang capital company ltd,,shanghai,shanghai jin jiang international hotels development co. ltd,,shanghai,0
tianjin you fa steel pipe group stock co. ltd,,tianjin,tianjin zhong xin pharmaceutical group corp ltd,,tianjin,0
nanjing gaoke company ltd,,nanjing,"nanjing hanrui cobalt co.,ltd.",,nanjing,0
shanghai huace navigation technology ltd,,shanghai,shanghai huayi group corp ltd,,shanghai,0
shanghai fudan-zhangjiang bio-pharmaceutical co. ltd,,shanghai,shanghai fullhan microelectronics co. ltd,,shanghai,0
shanghai sinyang semiconductor materials co. ltd,,shanghai,shanghai smi holding co. ltd,,shanghai,0
shanghai bright power semiconductor co. ltd,,shanghai,shanghai chinafortune co. ltd,,shanghai,0
"shanghai aj group co.,ltd",,shanghai,shanghai athub co. ltd,,shanghai,0
"beijing sifang automation co.,ltd",,beijing,beijing sinnet technology co. ltd,,beijing,0
shanghai shyndec pharmaceutical co. ltd,,shanghai,shanghai sinyang semiconductor materials co. ltd,,shanghai,0
beijing jingneng clean energy co. ltd,,beijing,beijing jingneng power co. ltd,,beijing,0
shenzhen changhong technology co. ltd,,shenzhen,shenzhen chipscreen biosciences co. ltd,,shenzhen,0
ningbo yongxin optics co. ltd,,ningbo,ningbo yunsheng  co. ltd,,ningbo,0
shanghai mechanical & electrical industry co. ltd,,shanghai,"shanghai medicilon, inc.",,shanghai,0
zhuzhou crrc times electric co. ltd,,zhuzhou,"zhuzhou hongda electronics corp,ltd.",,zhuzhou,0
jiangsu cnano technology co. ltd,,zhenjiang,"jiangsu dingsheng new material joint-stock co.,ltd",,zhenjiang,0
zhejiang juhua co. ltd,,quzhou,zhejiang kaishan compressor co. ltd,,quzhou,0
wuxi shangji automation co. ltd,,wuxi,wuxi taiji industry company ltd,,wuxi,0
"sichuan swellfun co.,ltd",,chengdu,"sichuan teway food group co.,ltd",,chengdu,0
china national chemical engineering co. ltd,,beijing,"china national gold group gold jewellery co.,ltd.",,beijing,0
china feihe ltd,,beijing,"china film co.,ltd.",,beijing,0
ningbo tuopu group co. ltd,,ningbo,ningbo xusheng auto technology co. ltd,,ningbo,0
shanghai pharmaceuticals holding co. ltd,,shanghai,shanghai phichem material co. ltd,,shanghai,0
lion group holding ltd.,,kowloon bay,lion rock group ltd,,kowloon,0
emperor entertainment hotel ltd,,wan chai,emperor watch & jewellery ltd,,wanchai,0
fundo de investimento imobiliario rio negro,,sao paulo,fundo de investimento imobiliário - fii ancar ic,,sao paulo,0
fundo de investimento imobiliario presidente vargas,,sao luis,fundo de investimento imobiliario rio negro,,sao paulo,0
fundo de investimento imobiliário - fii floripa shopping,,sao paulo,fundo invest imobiliario agencias caixa - fii fund,,sao paulo,0
kinea ii real estate equity fundo de investimento imobiliario,,sao paulo,kinea rendimentos imobiliarios fundo de investimento imobiliario - fii,,sao paulo,0
fundo de investimento imobiliario bm cyrela thera corporate,,sao paulo,fundo de investimento imobiliario campus faria lima - inicio de negociacao,,sao paulo,0
cshg jhsf prime offices fundo de investimento imobiliario,,sao paulo,cshg real estate - fundo de investimento imobiliario - fii,,sao paulo,0
fundo de investimento imobiliario mercantil do brasil-fii -inicio,,sao paulo,fundo de investimento imobiliario presidente vargas,,sao luis,0
fundo de investimento imobiliario - fii btg pactual corporate office fund,,sao paulo,fundo de investimento imobiliario - fii btg pactual fundo de fundos,,sao paulo,0
guangzhou automobile group co. ltd,,guangzhou,guangzhou baiyun international airport co. ltd,,guangzhou,0
scandi standard ab,,stockholm,scandic hotels group ab,,stockholm,0
addlife ab,,stockholm,addnode group ab,,stockholm,0
"grupo profuturo, s.a.b. de c.v.",,mexico city,grupo rotoplas s.a.b. de c.v.,,mexico city,0
fibra plus,,mexico city,fibra shop,,mexico city,0
"grupo gigante, s. a. b. de c. v.",,mexico city,"grupo hotelero santa fe, s.a.b. de c.v.",,mexico city,0
beijing enterprises holdings ltd,,wan chai,beijing enterprises urban resources group ltd,,wan chai,0
china merchants energy shipping co. ltd,,central,china merchants land ltd,,central,0
uniphos enterprises ltd,,mumbai,uniply industries ltd,,mumbai,0
public joint stock company research and production corp united wagon company,,moscow,public joint stock company rosinter restaurants holding,,moscow,0
public joint stock company mostotrest,,moscow,public joint stock company npo nauka,,moscow,0
public joint stock company interregional distribution grid company of siberia,,krasnoyarsk,public joint stock company krasnoyarskenergosbyt,,krasnoyarsk,0
sprott inc.,,toronto,sprott physical gold trust,,toronto,0
dundee corporation,,toronto,dundee precious metals inc.,,toronto,0
labrador gold corp,,toronto,labrador iron ore royalty corporation,,toronto,0
goldmoney inc.,,toronto,goldquest mining corp,,toronto,0
western forest products inc.,,vancouver,western magnesium corp,,vancouver,0
transalta corporation,,calgary,transalta renewables inc.,,calgary,0
covivio,,paris,covivio hotels societe anonyme,,paris,0
banco pan sa,,sao paulo,banco pine sa,,sao paulo,0
"episil holding, inc.",,hsinchu city,"episil-precision, inc.",,hsinchu city,0
"chang wah electromaterials, inc.",,kaohsiung,chang wah technology co. ltd,,kaohsiung,0
great tree pharmacy co. ltd,,taoyuan city,great wall enterprise co. ltd,,tainan city,0
hiwin mikrosystem corp,,taichung,hiwin technologies corp,,taichung,0
taiwan optical platform co. ltd,,taichung city,taiwan pcb techvest co. ltd,,taoyuan city,0
"taiwan sanyo electric co.,ltd.",,taipei city,taiwan secom co. ltd,,taipei,0
fit holding co. ltd,,new taipei city,fit hon teng ltd,,new taipei city,0
shin shin natural gas company ltd,,new taipei city,shin zu shing co. ltd,,new taipei city,0
hung ching development & construction co. ltd,,taipei,hung sheng construction ltd,,taipei,0
taisol electronics co. ltd,,taipei,taita chemical company ltd,,taipei,0
taiwan pelican express co. ltd,,taipei,"taiwan sanyo electric co.,ltd.",,taipei city,0
ruentex engineering & construction co. ltd,,taipei,ruentex industries ltd,,taipei,0
taiwan familymart co. ltd,,taipei,taiwan fertilizer co. ltd,,taipei,0
yieh phui enterprise co. ltd,,kaohsiung,yieh united steel corp,,kaohsiung city,0
essity ab,,stockholm,essity careers,consumer goods,stockholm,0
mitsubishi corp,,tokyo,mitsubishi corporation careers,mechanical & industrial engineering,tokyo,0
mitsubishi chemical holdings corp,,tokyo,mitsubishi corp,,tokyo,0
"nippon express co., ltd.",,tokyo,"nippon express holdings, inc.",,tokyo,0
"nomura real estate master fund, inc.",,tokyo,nomura research institute ltd,,tokyo,0
"nomura real estate holdings, inc.",,tokyo,"nomura real estate master fund, inc.",,tokyo,0
kawasaki heavy industries ltd,,tokyo,kawasaki kisen kaisha ltd,,tokyo,0
daibiru corp,,osaka,daicel corp,,osaka,0
nippn corp,,tokyo,nippo corp,,tokyo,0
japan asset marketing co. ltd,,tokyo,japan aviation electronics industry ltd,,tokyo,0
toyo ink sc holdings co. ltd,,tokyo,toyo seikan group holdings ltd,,tokyo,0
japan lifeline co. ltd,,tokyo,"japan logistics fund, inc.",,tokyo,0
jac recruitment co. ltd,,tokyo,jaccs co. ltd,,tokyo,0
tsugami corp,,tokyo,tsumura & co.,,tokyo,0
mitsui sugar co. ltd,,tokyo,mitsui-soko holdings co. ltd,,tokyo,0
"mori trust hotel reit, inc.",,tokyo,"mori trust sogo reit, inc.",,tokyo,0
mitsui mining & smelting co. ltd,,tokyo,mitsui o.s.k. lines ltd,,tokyo,0
kaneka corp,,tokyo,kanematsu corp,,tokyo,0
kenedix office investment corp,,tokyo,kenedix residential next investment corp,,tokyo,0
mitsui fudosan co. ltd,,tokyo,"mitsui fudosan logistics park, inc.",,tokyo,0
ing groep n.v.,,amsterdam,ing group careers,financial services,amsterdam,0
samyang corp,,seoul,samyang packaging corp,,seoul,0
hyosung heavy industries corp,,seoul,hyosung tnc corp,,seoul,0
fibra uno,,mexico city,fibrahotel,,mexico city,0
"grupo televisa, s.a.b.",,mexico city,"grupo traxión, s.a.b. de c.v.",,mexico city,0
china resources beer (holdings) company ltd,,wan chai,china resources cement holdings ltd,,wan chai,0
ck hutchison holdings ltd,,central,ck infrastructure holdings ltd,,central,0
keppel corp ltd,,singapore,keppel dc reit,,singapore,0
singapore myanmar investco ltd,,singapore,singapore o&g ltd,,singapore,0
raffles infrastructure holdings ltd,,singapore,raffles medical group ltd,,singapore,0
ktl global ltd,,singapore,ktmg ltd,,singapore,0
raffles financial group ltd,,singapore,raffles interior ltd,,singapore,0
boustead projects ltd,,singapore,boustead singapore ltd,,singapore,0
hong leong asia ltd,,singapore,hong leong finance ltd,,singapore,0
singapore post ltd,,singapore,singapore press holdings ltd,,singapore,0
singapore airlines ltd,,singapore,singapore exchange ltd,,singapore,0
public joint stock company rosbank,,moscow,public joint stock company rusolovo,,moscow,0
public joint stock company moscow city telephone network,,moscow,public joint stock company nauka-telecom,,moscow,0
public joint-stock company federal grid company of unified energy system,,moscow,public joint-stock company investment company ic russ-invest,,moscow,0
public joint stock company polyus,,moscow,public joint stock company research and production corp united wagon company,,moscow,0
pt japfa comfeed indonesia tbk,,jakarta,pt jasa marga (persero) tbk,,jakarta,0
pt mnc investama tbk,,jakarta,pt mnc land tbk,,jakarta,0
pt aneka gas industri tbk,,jakarta selatan,pt aneka tambang tbk,,jakarta,0
pt mitrabara adiperdana tbk,,jakarta pusat,pt mnc kapital indonesia tbk,,jakarta,0
pt mulia industrindo tbk,,jakarta selatan,pt multi bintang indonesia tbk,,jakarta,0
pt. map boga adiperkasa tbk,,jakarta,pt. mitra adiperkasa tbk,,jakarta pusat,0
pt bank ganesha tbk,,jakarta,pt bank ibk indonesia tbk,,jakarta pusat,0
pt samudera indonesia tbk,,jakarta barat,pt sarana meditama metropolitan tbk,,jakarta,0
pt indonesia prima property tbk,,jakarta,pt indonesian paradise property tbk,,jakarta,0
pt superkrane mitra utama tbk,,jakarta utara,pt supreme cable manufacturing & commerce tbk,,jakarta pusat,0
pt mahaka radio integra tbk,,jakarta,pt makmur berkah amanda tbk,,jakarta barat,0
pt surya pertiwi tbk,,jakarta barat,pt surya toto indonesia tbk,,jakarta barat,0
pt asuransi kresna mitra tbk,,jakarta,pt asuransi tugu pratama indonesia tbk,,jakarta,0
pt. indah prakasa sentosa tbk,,jakarta,pt. indo-rama synthetics tbk,,jakarta,0
pt. mandom indonesia tbk,,jakarta,pt. media nusantara citra tbk,,jakarta pusat,0
pt indonesia kendaraan terminal tbk,,jakarta utara,pt indonesia prima property tbk,,jakarta,0
pt dana brata luhur,,jakarta,pt darma henwa tbk,,jakarta,0
pt indopoly swakarsa industry tbk,,jakarta,pt indoritel makmur internasional tbk.,,jakarta,0
pt sekar bumi tbk,,jakarta selatan,pt selamat sempurna tbk,,jakarta,0
pt nusa raya cipta tbk,,jakarta,pt nusantara infrastructure tbk,,jakarta,0
pt central omega resources tbk,,jakarta,pt centratama telekomunikasi indonesia tbk,,jakarta pusat,0
pt jaya agra wattie tbk,,jakarta,pt jaya konstruksi manggala pratama tbk,,jakarta,0
pt cardig aero services tbk,,jakarta timur,pt central omega resources tbk,,jakarta,0
pt indonesia pondasi raya tbk,,jakarta,pt indonesia transport & infrastructure tbk,,jakarta pusat,0
pt duta intidaya tbk,,jakarta selatan,pt duta pertiwi tbk,,jakarta,0
pt rig tenders indonesia tbk,,jakarta,pt rockfields properti indonesia tbk.,,jakarta,0
pt jaya trishindo tbk,,jakarta,pt kabelindo murni tbk,,jakarta,0
pt intraco penta tbk,,jakarta,pt itama ranoraya tbk,,jakarta timur,0
pt mitra komunikasi nusantara tbk,,jakarta selatan,pt mitrabahtera segara sejati tbk,,jakarta selatan,0
pt alakasa industrindo tbk,,jakarta timur,pt alfa energi investama tbk,,jakarta selatan,0
pt asuransi jiwa syariah jasa mitra abadi tbk,,jakarta selatan,pt asuransi ramayana tbk,,jakarta,0
pt indo straits tbk,,jakarta utara,pt indocement tunggal prakarsa tbk,,jakarta,0
pt pelayaran nasional bina buana raya tbk,,jakarta pusat,pt pelayaran tamarin samudra tbk,,jakarta,0
pt asia pacific fibers tbk,,jakarta,pt asia sejahtera mina tbk,,jakarta barat,0
pt ancora indonesia resources tbk,,jakarta,pt aneka gas industri tbk,,jakarta selatan,0
pt ictsi jasa prima tbk,,jakarta utara,pt impack pratama industri tbk,,jakarta,0
pt lancartama sejati tbk,,jakarta,pt lautan luas tbk,,jakarta barat,0
pt sinergi inti plastindo tbk,,south jakarta,pt sitara propertindo tbk,,west jakarta,0
pt limas indonesia makmur tbk,,jakarta,pt lion metal works tbk,,jakarta,0
pt indo komoditi korpora tbk,,jakarta,pt indo straits tbk,,jakarta utara,0
pt armada berjaya trans tbk,,jakarta,pt arwana citramulia tbk,,jakarta,0
pt tanah laut tbk,,jakarta,pt telefast indonesia tbk,,jakarta,0
pt. terregra asia energy tbk,,jakarta barat,pt. verena multi finance tbk,,jakarta pusat,0
pt mitra international resources tbk,,jakarta,pt mitra komunikasi nusantara tbk,,jakarta selatan,0
pt first media tbk,,jakarta,pt fortune indonesia tbk,,jakarta selatan,0
pt royal prima tbk,,jakarta,pt rukun raharja tbk,,jakarta pusat,0
pt astra graphia tbk,,jakarta,pt astra otoparts tbk,,jakarta,0
pt pratama abadi nusa industri tbk,,tangerang,pt prima cakrawala abadi tbk,,semarang,0
pt surya semesta internusa tbk,,jakarta,pt suryamas dutamakmur tbk,,jakarta,0
pt jakarta setiabudi internasional tbk,,jakarta,pt jasa armada indonesia tbk,,jakarta,0
pt pelat timah nusantara tbk,,jakarta,pt pelayaran nelly dwi putri tbk,,jakarta pusat,0
pt eagle high plantations tbk,,jakarta selatan,pt eka sari lorena transport tbk,,jakarta,0
pt bank oke indonesia tbk,,jakarta pusat,pt bank panin dubai syariah tbk,,jakarta,0
pt sentul city tbk,,jakarta,pt shield on service tbk,,jakarta pusat,0
pt central proteina prima tbk,,jakarta selatan,pt century textile industry tbk,,jakarta timur,0
pt pp,,jakarta,pt pp presisi tbk,,jakarta timur,0
pt asuransi jiwa sinarmas msig tbk,,jakarta pusat,pt asuransi kresna mitra tbk,,jakarta,0
pt m cash integrasi tbk,,jakarta selatan,pt mahaka media tbk,,jakarta,0
pt inti bangun sejahtera tbk,,jakarta pusat,pt intiland development tbk,,jakarta,0
pt bank danamon indonesia tbk,,jakarta,pt bank harda internasional tbk,,jakarta pusat,0
pt bank btpn syariah tbk,,jakarta selatan,pt bank bukopin tbk,,jakarta,0
pt bank rakyat indonesia agroniaga tbk,,jakarta selatan,pt bank sinarmas tbk,,jakarta,0
pt bank net indonesia syariah tbk,,jakarta selatan,pt bank oke indonesia tbk,,jakarta pusat,0
pt bank negara indonesia (persero) tbk,,jakarta,pt bank net indonesia syariah tbk,,jakarta selatan,0
pt bank mandiri (persero) tbk,,jakarta,pt bank mayapada internasional tbk,,jakarta,0
pt bank central asia tbk,,jakarta,pt bank cimb niaga tbk,,jakarta,0
sartorius,,gottingen,sartorius careers,biotechnology,goettingen,0
the national agricultural development company,,riyadh,the national shipping company of saudi arabia,,riyadh,0
al-samaani factory for metal industries co.,,riyadh,al-yamamah steel industries company,,riyadh,0
al-omran industrial trading co.,,riyadh,al-samaani factory for metal industries co.,,riyadh,0
saudi enaya cooperative insurance company,,jeddah,saudi ground services company,,jeddah,0
etihad atheeb telecommunication company,,riyadh,etihad etisalat company,,riyadh,0
saudi industrial development co.,,jeddah,saudi industrial services company,,jeddah,0
saudi real estate company,,riyadh,saudi research and media group,,riyadh,0
saudi electricity company,,riyadh,saudi fisheries company,,riyadh,0
saudi telecom company,,riyadh,saudi vitrified clay pipe co.,,riyadh,0
al rajhi banking and investment corp,,riyadh,al rajhi company for cooperative insurance,,riyadh,0
canadian natural resources limited,,calgary,canadian overseas petroleum limited,,calgary,0
leonardo s.p.a.,,rome,leone film group s.p.a.,,rome,0
wam global limited,,sydney,wam leaders limited,,sydney,0
platinum asia investments limited,,sydney,platinum capital limited,,sydney,0
pengana capital group limited,,sydney,pengana private equity trust,,sydney,0
venture minerals limited,,west perth,venturex resources limited,,west perth,0
naos emerging opportunities company limited,,sydney,naos small cap opportunities company limited,,sydney,0
elanor commercial property fund,,sydney,elanor retail property fund,,sydney,0
charter hall long wale reit,,sydeny,charter hall social infrastructure reit,,sydney,0
administradora de fondos de pensiones habitat sa,,santiago,administradora de fondos de pensiones provida sa,,santiago,0
sociedad de inversiones pampa calichera sa,,las condes,sociedad matriz saam sa,,las condes,0
empresas gasco sa,,santiago de chile,empresas la polar sa,,santiago de chile,0
