company_name_left,industry_left,headquarters_city_left,company_name_right,industry_right,headquarters_city_right,label
rana sugars,Food Processing,,rana motors,Automobile,,0
citizens hospital,Healthcare,,sunrise hospital,Healthcare,,0
pacific it consulting,Recruitment,,pacific india,Real Estate,,0
coromandel agrico,Agro Chemicals,,coromandel international,Agriculture,,0
contizant technologies,IT Services & Consulting,,cryptograph technologies,IT Services & Consulting,,0
clarify health,Health,San Francisco,clariant chemicals,Chemicals,,0
tekion,Internet software & services,San Ramon,tezign,Internet software & services,Shanghai,0
amadeus careers,Information Technology & Services,Madrid,amadeus,IT Services & Consulting,,0
lambda careers,Computer Hardware,San Francisco,lambdatest,Software Product,,0
danone careers,Food & Beverages,Paris,danone nutricia,Food Processing,,0
comcast careers,Telecommunications,Philadelphia,comcast,Engineering & Construction,,0
vexata careers,Information Technology & Services,San Jose,injazat careers,Information Technology & Services,Abu Dhabi,0
worklete careers,Computer Software,Oakland,upthere careers,Computer Software,Redwood City,0
onsemi careers,Semiconductors,Phoenix,lumileds careers,Semiconductors,Schiphol,0
gem careers,Computer Software,Venice,aptible careers,Computer Software,San Francisco,0
anthem careers,Financial Services,Indianapolis,advyzon careers,Financial Services,Chicago,0
volvo group,,,volvo it,Automobile,,0
capgemini,,,capgemini engineering,Analytics & KPO,,0
itc,,,itc abd,Food Processing,,0
first american financial,,,first american corporation,IT Services & Consulting,,0
airports of thailand,,,airports authority of india,Aviation,,0
digitron,Industrials,,digitas,Marketing & Advertising,,0
danish crown amba,Consumer goods,,danish agro,Industrials,,0
essilorluxottica,Health care,,essilor,Medical Equipment,,0
mercedes-amg,Consumer goods,,mercedes-benz group,,,0
diana,Consumer goods,,dianrong,E-commerce & direct-to-consumer,Shanghai,0
corvin film,Consumer services,,croatia film,Consumer services,,0
ansaldo sts,Industrials,,ansaldo energia,Utilities,,0
design42day,Consumer services,,designcafe,Retail,,0
motobi,Consumer goods,,motomarine,Industrials,,0
lietuvos energija,Utilities,,lietuvos dujos,Utilities,,0
nipparts,Consumer goods,,nipha exports,Industrial Machinery,,0
optimus s.a.,Technology,,option n.v.,Technology,,0
romstal,Industrials,,rotax,Industrials,,0
festina,Consumer goods,,festo,Industrials,,0
columbitech,Technology,,columbus,Consumer goods,,0
tele2,Telecommunications,,telenet,Telecommunications,,0
nissin,Instant Noodles,,nissin brake,Auto Components,,0
icbc asia,Bank,,icbc careers,Financial Services,Vancouver,0
tata,Automobile,,tata 1mg,Internet,,0
cerelac,Baby Food (excluding milk powder),,cerebral,Health,San Francisco,0
oriental,Hotel,,oriental aromatics,Chemicals,,0
fossil,Jewellery/Watch,,fossil group,Fashion & Textile,,0
airbus,"['Aircraft manufacturers', 'Aerospace', 'CAC 40', 'Manufacturing', 'DAX']",,airbyte,Internet software & services,San Francisco,0
johnson controls,,,johnson controls international,,,0
nutrien,"['Mining', 'Fertilizer companies']",,nutricia,Fitness & Wellness,,0
thales,"['Defense contractors', 'CAC 40']",,thales group,Industrials,,0
endesa,"['Electricity', 'Utility companies', 'Energy']",,endemol,Consumer services,,0
siemens gamesa,,,siemens energy,,,0
morningstar,['Financial services'],,morning fresh,Detergent,,0
armstrong world industries,,,armstrong international,Financial Services,,0
propertyguru,['Real estate'],,property solutions,Facility Management Services,,0
altisource portfolio,['Financial services'],,altisource,Real Estate,,0
electrocore,['Pharmaceuticals'],,electrolux,['Home & Kitchen Appliances'],,0
united insurance holdings,['Insurance'],,united industries,Industrial Machinery,,0
yellow corporation,['Transportation'],,yellow diamond,FMCG,,0
cigniti technologies,"['Software', 'Professional services', 'Tech']",,cigniti careers,Information Technology & Services,Irving,0
unity bancorp,"['Banks', 'Financial services']",,provident bancorp,"['Banks', 'Financial services']",,0
monte rosa therapeutics,"['Pharmaceuticals', 'Biotech']",,protagonist therapeutics,"['Pharmaceuticals', 'Biotech']",,0
southern missouri bancorp,"['Banks', 'Financial services']",,southern petrochemical industries corp,"['Oil&Gas', 'Chemicals', 'Fertilizer companies']",,0
onespan,"['IT security', 'Software', 'Tech']",,onepharm,Health care,,0
accolade,['Healthcare'],,acco brands,['Manufacturing'],,0
ponsse,['Machinery manufacturing'],,pond’s,Female Skincare Product,,0
rites,"['Engineering', 'Professional services']",,rite aid,,,0
metrovacesa,"['Construction', 'Real estate']",,metrorex,Consumer services,,0
finolex industries,,,finolex cables,,,0
truecaller,"['Tech', 'Software']",,truepill,Health,Hayward,0
green plains,"['Biofuel', 'Renewable energy']",,green park hotels,Hospitality,,0
first financial bank,"['Banks', 'Financial services']",,first western financial,"['Banks', 'Financial services']",,0
corcept therapeutics,"['Pharmaceuticals', 'Biotech']",,frequency therapeutics,"['Pharmaceuticals', 'Biotech']",,0
bank jago,"['Banks', 'Financial services']",,bank aljazira,"['Banks', 'Financial services']",,0
unicaja banco,"['Banks', 'Financial services']",,unity bancorp,"['Banks', 'Financial services']",,0
harvey norman,"['Retail', 'Furniture']",,harvey fresh,Fruit Juice,,1
atlas corp,,,atlas cycles,Automobile,,0
american international group,,,american india foundation,Non-Profit,,0
cosco shipping,,,cosco shipping development,['Financial services'],,0
american tower,,,american tower corporation,Telecom,,0
murata manufacturing,,,murata manufacturing (murata seisakusho),"['Electronics', 'Tech', 'Tech Hardware']",,0
international holding company,,,international general insurance,['Insurance'],,0
trigano sa,,Paris,trigent software,IT Services & Consulting,,0
human xtensions ltd,,Netanya,human interest,Fintech,San Francisco,0
poulaillon sa,,Wittelsheim,poujoulat sa,,Frontenay Rohan Rohan,0
bbmg corp,,Beijing,bbmg,,,0
hopium sa,,Paris,hopening sa,,Puteaux,0
ernst russ ag,,Hamburg,ernst & young,Consulting,,0
crédit agricole d'ile-de-france,,Paris,crédit commercial de france,Financials,,0
hong kong chaoshang group ltd,,Wan Chai,hong kong exchanges,,,0
lion group holding ltd.,,Kowloon Bay,lion rock group ltd,,Kowloon,0
trinity ltd,,Quarry Bay,trinity place holdings,"['Real estate', 'Investment']",,0
public joint-stock company tns energo nizhny novgorod,,Nizhny Novgorod,public joint-stock company rusgrain holding,,Ufa,0
banco mercantil de investimentos sa,,Belo Horizonte,banco mercantil do brasil sa,,Belo Horizonte,0
china railway construction corp ltd,,Beijing,china railway group,['Construction'],,0
pricer ab,,Stockholm,pricesmart,,,0
veon ltd.,,Amsterdam,veon,,,0
premier explosives ltd,,Secunderabad,premier energies,,,0
granite real estate investment trust,,Toronto,granite real estate,"['Real estate', 'Investment', 'REITs']",,0
versabank,,London,versace,Consumer goods,,0
treasury metals inc.,,Toronto,treasury wine estates,"['Beverages', 'Alcoholic beverages']",,0
soitec sa,,Bernin,soilmec,Industrials,,0
sinopac financial holdings company ltd,,Taipei,sinopac financial,,,0
central reinsurance corp,,Taipei,central reserve police force,Government,,0
capital futures corp,,Taipei,capital finserve,NBFC,,0
hsing ta cement company ltd,,Taipei,hsin yung chien co. ltd,,Nantou City,0
skf ab,,Gothenburg,skf,Industrials,,0
advantest corp,,Tokyo,advantmed,Software Product,,0
"workman co.,ltd.",,Tokyo,workman,['Retail'],,0
okumura corp,,Osaka,okuma corporation,,Niwa,0
hosiden corp,,Yao,hoshizaki corp,,Toyoake,0
abn amro bank n.v.,,Amsterdam,abn amro,Financials,,0
"coupang, inc.",,Seoul,coupang,,,0
united overseas australia limited,,Kuala Lumpur,united overseas bank,Bank,,0
frasers hospitality trust,,Singapore,frasers logistics & commercial trust,,Singapore,0
imperium crown ltd,,Singapore,imperium technology group ltd,,Kwun Tong,0
chorus limited,,Wellington,chorus,['Telecommunication'],,0
pt bank ocbc nisp tbk,,Jakarta,pt bank neo commerce tbk,,South Jakarta,0
pt kapuas prima coal tbk,,Jakarta Utara,pt kalbe farma tbk.,,Jakarta,0
pt transkon jaya tbk,,Balikpapan,pt trias sentosa tbk,,Sidoarjo,0
pt intraco penta tbk,,Jakarta,pt itama ranoraya tbk,,Jakarta Timur,0
pt lancartama sejati tbk,,Jakarta,pt lautan luas tbk,,Jakarta Barat,0
pt cahaya bintang medan tbk,,Deli Serdang,pt cahayasakti investindo sukses tbk,,Bogor,0
pt mulia boga raya tbk,,Bekasi,pt mulia industrindo tbk,,Jakarta Selatan,0
pt bank net indonesia syariah tbk,,Jakarta Selatan,pt bank neo commerce tbk,,South Jakarta,0
saudi advanced industries company,,Riyadh,saudi airlines catering company,,Jeddah,0
bank of nova scotia,,Halifax,bank of ningbo,,,0
poligrafici printing s.p.a.,,Bologna,poligrafica san faustino spa,,Castrezzato,0
capgemini se,,Paris,capgemini engineering,Analytics & KPO,,0
vincit oyj,,Tampere,vinci sa,Industrials,,0
worley limited,,North Sydney,worley,"['Engineering', 'Energy']",,0
empire energy group limited,,Sydney,empire company limited,,Stellarton,0
lion selection group limited,,Melbourne,lion one metals limited,,North Vancouver,0
metcash limited,,Macquarie Park,metcash,,,0
"baidu, inc.",,Beijing,baidu,,,0
microsoft,,Redmond,microsoft corporation,Software Product,,0
just group plc,,Reigate,just energy group inc.,,Toronto,0
independent oil and gas plc,,London,independent bank group,"['Banks', 'Financial services']",,0
henderson diversified income trust plc,,Not found,henderson european focus trust plc,,Not found,0
hwa fong rubber,,Samut Prakan,hwa fong rubber ind. co. ltd,,Changhua,0
lyondellbasell industries n.v.,,Houston,lyondellbasell,['Chemicals'],,0
northern trust corporation,,Chicago,northern trust,,,0
"c.h. robinson worldwide, inc.",,Eden Prairie,c.h. robinson,,,0
owens corning,,Toledo,owens & minor,['Healthcare'],,0
columbia sportswear company,,Portland,columbia petro chem,Oil & Gas,,0
"general mills, inc.",,Minneapolis,general motors,"['Automakers', 'Manufacturing']",,0
farfetch limited,,London,farfetch,"['Luxury goods', 'Clothing', 'Retail']",,0
vestel elektronik sanayi ve ticaret anonim sirketi,,Istanbul,vestel beyaz esya sanayi ve ticaret a.s.,,Istanbul,0
siam global house public company ltd,,Mueang Roi Et,siam future development public company ltd,,Bangkok,0
solectric,Technology,,sogeti,Technology,,0
telemedi,Health,,telenet,Telecommunications,,0
theras biocare,Health,,theravance biopharma,"['Pharmaceuticals', 'Biotech']",,0
inpay,Fintech,,inpex,,,0
parkster,Technology,,parle,Sweets and Candy,,0
ricksoft,Technology,,ricoh,Digital Products,,0
powertip technology corporation,Industrial Goods,,"powertech technology, inc.",,Hsinchu City,0
mia,Technology,,mia.com,E-commerce & direct-to-consumer,Beijing,0
dynacons,Technology,,dynamo6,Technology,,0
landbay,Fintech,,landbay partners,Financial Services,,0
lendi,Fintech,,lendable,Fintech,London,0
comture,Technology,,contrader,Technology,,0
contrader,Technology,,contrast security,Cybersecurity,Los Altos,0
virta,Technology,,virtus lab,Technology,,0
autology,Automobiles,,autodoc,Automobiles,,0
black swan data,Technology,,black sea studios,Technology,,0
b-open solutions,Technology,,sankey solutions,Technology,,0
france bières,Food & Beverage,,franco fresco,Food & Beverage,,0
novastar,Technology,,novatek,,,0
agriconomie,Agricultural Commodities,,agricodem,Agricultural Commodities,,0
agorize,Technology,,agora.io,"['Software', 'Tech']",,0
quantion,Technology,,quantum,"['Tech', 'Internet']",,0
medios,Chemicals,,medion ag,,Essen,0
hostersi,Technology,,hostess brands,['Food'],,0
saico,Construction,,saic motor,"['Automakers', 'Manufacturing']",,0
infogene,Management Consulting,,infojini,IT Services & Consulting,,1
future mind,Technology,,future market insights,Analytics & KPO,,0
codedose,Technology,,codeclouds,IT Services & Consulting,,0
amido,Technology,,amity,Technology,,0
pharmacy2u,Health,,pharmacosmos,Health care,,0
energetic,Energy,,energean plc,,London,1
travellanda,Travel & Leisure,,traveloka,Travel,Jakarta,0
aufgesang,Advertising,,augean plc,,Wetherby,0
little green house,Education,,little green pharma ltd,,West Perth,0
fleetpool,Automobiles,,fleetx.io,IT Services & Consulting,,0
hera comm spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",BOLOGNA,hera group,"['Utility companies', 'Electricity', 'Energy']",,0
credemvita spa,"Finance, Insurance, and Real Estate",REGGIO EMILIA,credit agricole vita spa,"Finance, Insurance, and Real Estate",PARMA,0
bonfi srl,"Finance, Insurance, and Real Estate",BOLOGNA,cremofin srl,"Finance, Insurance, and Real Estate",MODENA,0
carlo colombo spa,Manufacturing,CREMONA,carlos casado sa,,Buenos Aires,0
maiora srl,Wholesale Trade,BARI,megamark srl,Wholesale Trade,BARLETTA ANDRIA TRANI,0
f.lli lando spa,Retail Trade,VENEZIA,f.lli martini & c. spa,"Finance, Insurance, and Real Estate",FORLI'-CESENA,0
shandong xinhua pharmaceutical co ltd,Pharmaceuticals and Healthcare,,shenzhen hepalink pharmaceutical group co ltd,Pharmaceuticals and Healthcare,,0
companhia de saneamento de minas gerais,Environmental and Waste Management Services,,companhia de saneamento básico do estado de são paulo - sabesp,,SÃ£o Paulo,0
nippon koei co ltd,Construction,,nippon konpo,Logistics,,0
shangri-la asia ltd,Leisure and Arts,,shangri-la,Hotel,,0
perfect world co ltd,Technology and Communications,,perfect world entertainment,"['Video games', 'Entertainment', 'Tech']",,0
sis international holdings limited,Retailing,,sis mobile holdings ltd,,Kwun Tong,0
three squirrels co ltd,Consumer Packaged Goods,,three ireland,Telecommunications,,0
pt bank cimb niaga tbk,Financial Services,,pt bank central asia tbk,,Jakarta,0
the manitowoc co inc,Construction,,the mail track company,Technology,,0
the hain celestial group inc,Consumer Packaged Goods,,"the hanover insurance group, inc.",,Worcester,0
nine entertainment co holdings ltd,Media,,nine dragons paper holdings ltd,,Dongguan,0
chemed corp,Pharmaceuticals and Healthcare,,gc corp,Pharmaceuticals and Healthcare,,0
hello group inc,Technology and Communications,,hello transtech,Auto & transportation,Shanghai,0
inter pipeline ltd,Energy and Utilities,,inter pharma public company ltd,,Bangkok,0
transurban group,Construction,,transunion,['Financial services'],,0
shenzhen inovance technology co ltd,Industrial Goods and Machinery,,shenzhen inovance,,,0
stantec inc,Construction,,steelcase inc,Construction,,0
smiths medical,Medical Equipment,,smiths news plc,,Swindon,0
bank of jiujiang co ltd,Financial Services,,bank of jiangsu,"['Banks', 'Financial services']",,0
central bank of india,Financial Services,,central bank of luxembourg,Financials,,0
advantest corp,Technology and Communications,,advantmed,Software Product,,0
hulic co ltd,Construction,,hulamin ltd,,Pietermaritzburg,0
aeon financial service co ltd,Financial Services,,aeon mall co. ltd,,Chiba,0
morinaga milk industry co ltd,Consumer Packaged Goods,,morinaga & co ltd,Consumer Packaged Goods,,0
liberty latin america ltd,Technology and Communications,,liberty holdings ltd,,Johannesburg,0
bank of chengdu co ltd,Financial Services,,bank of china,Bank,,0
renaissancere holdings ltd,Financial Services,,renaissancere,['Insurance'],,0
bangkok bank public co ltd,Financial Services,,bangkok aviation fuel services public company ltd,,Bangkok,0
petronet lng ltd,Energy and Utilities,,petronas gas bhd,Energy and Utilities,,0
alaska air group inc,Transport and Logistics,,alaska airlines careers,Aviation & Aerospace,Seattle,0
fanuc corp,Industrial Goods and Machinery,,fanuc,,,0
israel corporation ltd,Chemicals,,israel discount bank ltd,,Tel Aviv,0
telefonica uk ltd,Technology and Communications,,telefónica,,,0
kotak mahindra bank ltd,Financial Services,,kotak mahindara life insurance,Insurance,,0
kasikorn bank public co ltd,Financial Services,,kasikornbank,,,0
commercial metals co,Metals and Mining,,commercial vehicle group (cvg),,,0
pt bank mandiri (persero) tbk,Financial Services,,pt bank mayapada internasional tbk,,Jakarta,0
grupo financiero banorte sab de cv,Financial Services,,grupo financiero galicia sa,,Buenos Aires,0
erste group bank ag,Financial Services,,erste bank,Financials,,0
aon plc,Financial Services,,aon,,,0
quanta services inc,Construction,,"quanta computer, inc.",,Taoyuan City,0
publicis groupe sa,Media,,publicis,Industrials,,0
macquarie group ltd,Financial Services,,outsurance group ltd,Financial Services,,0
telstra corp ltd,Technology and Communications,,telstra,['Telecommunication'],,1
aramark,Business and Consumer Services,,aramex,Transport and Logistics,,0
bechtel corp,Construction,,bechtle,Technology,,1
vestas wind systems as,Alternative Energy,,vestas offshore wind as,Alternative Energy,,0
banco santander (brasil) sa,Financial Services,,banco patagonia sa,Financial Services,,0
pg&e corp,Power,,pg&e,,,0
korea gas corp,Energy and Utilities,,keyera corp,Energy and Utilities,,0
dollar tree inc,Retailing,,dollar industries,Fashion & Textile,,0
holcim ltd,Construction,,holcim group,"['Building materials', 'Cement']",,0
banco do brasil sa,Financial Services,,banco macro sa,Financial Services,,0
ck hutchison holdings ltd,Conglomerate,,ck infrastructure holdings ltd,,Central,0
deutsche bank ag,Financial Services,,deutsche bank wealth management,Financial Services,,0
the progressive corp,Financial Services,,the charles schwab corp,Financial Services,,0
sberbank rossii,Financial Services,,sberbank,"['Banks', 'Financial services']",,0
china telecom corp ltd,Technology and Communications,,china transinfo technology co ltd,Technology and Communications,,0
intel corp,Technology and Communications,,intel,Semiconductors,,0
hitachi ltd,Technology and Communications,,hitachi mgrm net,IT Services & Consulting,,1
cargill inc,Agriculture and Forestry,,cargill business services,BPO,,0
bank of china ltd,Financial Services,,bank of shanghai co ltd,Financial Services,,0
china construction bank corp,Financial Services,,china merchants bank co ltd,Financial Services,,0
software analysis and design limited,62020 - Information technology consultancy activities,,software add-ons limited,62020 - Information technology consultancy activities,,0
software and process applications limited,62020 - Information technology consultancy activities,,software & design limited,62020 - Information technology consultancy activities,,0
software a s limited,62020 - Information technology consultancy activities,,software acquisitions & licensing limited,62012 - Business and domestic software development,,0
software by smith ltd,62020 - Information technology consultancy activities,,software ag (uk) limited,62020 - Information technology consultancy activities,,0
software cloud consulting ltd,62012 - Business and domestic software development,,software acumen limited,62012 - Business and domestic software development,,0
software constructors limited,62090 - Other information technology service activities,,software agility limited,62090 - Other information technology service activities,,0
software confidence ltd,62020 - Information technology consultancy activities,,software & design limited,62020 - Information technology consultancy activities,,0
software consultant ltd,62020 - Information technology consultancy activities,,software artists ltd,62020 - Information technology consultancy activities,,0
software control & design ltd,62012 - Business and domestic software development,,software center black limited,62012 - Business and domestic software development,,0
software craftsmanship limited,62012 - Business and domestic software development,,software center black limited,62012 - Business and domestic software development,,0
software design ltd,62020 - Information technology consultancy activities,,software and management group ltd,62020 - Information technology consultancy activities,,0
software delivery solutions limited,62020 - Information technology consultancy activities,,software crafts limited,62020 - Information technology consultancy activities,,0
software defences ltd,62020 - Information technology consultancy activities,,software delivery solutions limited,62020 - Information technology consultancy activities,,0
software design & consulting limited,62020 - Information technology consultancy activities,,software consultancy service limited,62020 - Information technology consultancy activities,,0
software design plus ltd,62020 - Information technology consultancy activities,,software and network solutions ltd.,62020 - Information technology consultancy activities,,0
software design systems ltd,62012 - Business and domestic software development,,software acumen limited,62012 - Business and domestic software development,,0
software development design & consultancy limited,62020 - Information technology consultancy activities,,software asset solutions limited,62020 - Information technology consultancy activities,,0
software development services ltd,62012 - Business and domestic software development,,software design systems ltd,62012 - Business and domestic software development,,0
software dynamics limited,62020 - Information technology consultancy activities,,software consultant ltd,62020 - Information technology consultancy activities,,0
software dojo ltd,62020 - Information technology consultancy activities,,software dynamics (uk) ltd,74990 - Non-trading company,,0
software efficiency ltd,62020 - Information technology consultancy activities,,software a s limited,62020 - Information technology consultancy activities,,0
software eats the world ltd,62020 - Information technology consultancy activities,,software crafts limited,62020 - Information technology consultancy activities,,0
software fabrik ltd,62020 - Information technology consultancy activities,,software designs limited,62020 - Information technology consultancy activities,,0
software experts ltd,62012 - Business and domestic software development,,software alliance limited,62012 - Business and domestic software development,,0
software evolution limited,62012 - Business and domestic software development,,software cloud consulting ltd,62012 - Business and domestic software development,,0
software focus international ltd,62020 - Information technology consultancy activities,,software consultancy solutions ltd,62020 - Information technology consultancy activities,,0
software factory limited(the),62020 - Information technology consultancy activities,,software designs limited,62020 - Information technology consultancy activities,,0
software for information theoretic applications limited,62012 - Business and domestic software development,,software and integration services associates limited,62012 - Business and domestic software development,,0
software friends ltd,62012 - Business and domestic software development,,software development services ltd,62012 - Business and domestic software development,,0
software for healthcare limited,62012 - Business and domestic software development,,software craftsmanship limited,62012 - Business and domestic software development,,0
software foundation limited,62090 - Other information technology service activities,,software friends ltd,62012 - Business and domestic software development,,0
software genics ltd,62012 - Business and domestic software development,,software engineering experts limited,62012 - Business and domestic software development,,0
software generation ltd,62012 - Business and domestic software development,,software (europe) limited,62012 - Business and domestic software development,,0
software generation holdings limited,62012 - Business and domestic software development,,software design laboratory limited,62012 - Business and domestic software development,,0
software fusion technologies limited,62020 - Information technology consultancy activities,,software compliance limited,62020 - Information technology consultancy activities,,0
software fusion limited,62020 - Information technology consultancy activities,,software focus international ltd,62020 - Information technology consultancy activities,,0
software guru ltd,62020 - Information technology consultancy activities,,software designs limited,62020 - Information technology consultancy activities,,0
software hatch ltd,62012 - Business and domestic software development,,software evolution limited,62012 - Business and domestic software development,,0
software hamsters ltd,62012 - Business and domestic software development,,software by design ltd,62012 - Business and domestic software development,,0
software heads limited,62012 - Business and domestic software development,,software application professionals limited,62012 - Business and domestic software development,,0
software house limited,62012 - Business and domestic software development,,software generation holdings limited,62012 - Business and domestic software development,,0
software hothouse ltd,62012 - Business and domestic software development,,software by design ltd,62012 - Business and domestic software development,,0
software innovators ltd,62012 - Business and domestic software development,,software creations limited,62012 - Business and domestic software development,,0
software informatics limited,62012 - Business and domestic software development,,software genesis group limited,62012 - Business and domestic software development,,0
software inspire limited,"46510 - Wholesale of computers, computer peripheral equipment and software",,software and logistics ltd,"46510 - Wholesale of computers, computer peripheral equipment and software",,0
software in partnership trustee limited,62012 - Business and domestic software development,,software co-operative limited,62012 - Business and domestic software development,,0
software island limited,62012 - Business and domestic software development,,software experts ltd,62012 - Business and domestic software development,,0
software insight solutions limited,62020 - Information technology consultancy activities,,software dynamics limited,62020 - Information technology consultancy activities,,0
software ip limited,62012 - Business and domestic software development,,software application professionals limited,62012 - Business and domestic software development,,0
software integrators limited,62012 - Business and domestic software development,,software in partnership trustee limited,62012 - Business and domestic software development,,0
software into action limited,62090 - Other information technology service activities,,software 4 all ltd,62090 - Other information technology service activities,,0
software languages ltd.,62012 - Business and domestic software development,,software hothouse ltd,62012 - Business and domestic software development,,0
software lab solutions ltd,62020 - Information technology consultancy activities,,software impact limited,62020 - Information technology consultancy activities,,0
software links limited,62012 - Business and domestic software development,,software acquisitions & licensing limited,62012 - Business and domestic software development,,0
software leaders limited,62020 - Information technology consultancy activities,,software design smart ltd,62020 - Information technology consultancy activities,,0
software management ltd,62012 - Business and domestic software development,,software by design ltd,62012 - Business and domestic software development,,0
software maintenance limited,62012 - Business and domestic software development,,software application professionals limited,62012 - Business and domestic software development,,0
software luminiuos ltd,62012 - Business and domestic software development,,software bytes ltd,62012 - Business and domestic software development,,0
software medical informatics limited,62090 - Other information technology service activities,,software & sail design limited,62090 - Other information technology service activities,,0
software might limited,62012 - Business and domestic software development,,software innovators ltd,62012 - Business and domestic software development,,0
software mindscapes ltd,62020 - Information technology consultancy activities,,software add-ons limited,62020 - Information technology consultancy activities,,0
software migrations limited,62090 - Other information technology service activities,,software mindscapes ltd,62020 - Information technology consultancy activities,,0
software mountain limited,62020 - Information technology consultancy activities,,software by smith ltd,62020 - Information technology consultancy activities,,0
software owl ltd,62012 - Business and domestic software development,,software acquisitions ltd,62012 - Business and domestic software development,,0
software paradise ltd,62090 - Other information technology service activities,,software division limited,62090 - Other information technology service activities,,0
software outsourcing services sos limited,62012 - Business and domestic software development,,software integrators limited,62012 - Business and domestic software development,,0
software plus limited,62012 - Business and domestic software development,,software design laboratory limited,62012 - Business and domestic software development,,0
software planet group ltd.,62012 - Business and domestic software development,,software hothouse ltd,62012 - Business and domestic software development,,0
software power tools limited,62020 - Information technology consultancy activities,,software factory limited(the),62020 - Information technology consultancy activities,,0
software perimeters ltd,62020 - Information technology consultancy activities,,software efficiency ltd,62020 - Information technology consultancy activities,,0
software project solutions limited,62020 - Information technology consultancy activities,,software design & consulting limited,62020 - Information technology consultancy activities,,0
software professional services limited,62012 - Business and domestic software development,,software for information theoretic applications limited,62012 - Business and domestic software development,,0
software productions ltd,62012 - Business and domestic software development,,software cpanel ltd,62012 - Business and domestic software development,,0
software productions ltd,62012 - Business and domestic software development,,software product development global ltd,62012 - Business and domestic software development,,0
software quality limited,62020 - Information technology consultancy activities,,software consultant ltd,62020 - Information technology consultancy activities,,0
software qa consulting ltd,62020 - Information technology consultancy activities,,software by smith ltd,62020 - Information technology consultancy activities,,0
software quality solutions limited,62020 - Information technology consultancy activities,,software affair limited,62020 - Information technology consultancy activities,,0
software quality consulting limited,62020 - Information technology consultancy activities,,software asset solutions limited,62020 - Information technology consultancy activities,,0
software quality services ltd.,82990 - Other business support service activities not elsewhere classified,,software analysis solutions limited,82990 - Other business support service activities not elsewhere classified,,0
software research ltd,62020 - Information technology consultancy activities,,software & design limited,62020 - Information technology consultancy activities,,0
software research ltd,62020 - Information technology consultancy activities,,software quality limited,62020 - Information technology consultancy activities,,0
software safari limited,62012 - Business and domestic software development,,software innovators ltd,62012 - Business and domestic software development,,0
software right ltd,62020 - Information technology consultancy activities,,software and code ltd,62020 - Information technology consultancy activities,,0
software right ltd,62020 - Information technology consultancy activities,,software safety limited,62020 - Information technology consultancy activities,,0
software revelations ltd,62012 - Business and domestic software development,,software informatics limited,62012 - Business and domestic software development,,0
software sales management limited,62020 - Information technology consultancy activities,,software coders limited,62020 - Information technology consultancy activities,,0
software rocks ltd,62012 - Business and domestic software development,,software cloud limited,62012 - Business and domestic software development,,0
software scotland limited,62020 - Information technology consultancy activities,,software by smith ltd,62020 - Information technology consultancy activities,,0
software sculptors limited,62012 - Business and domestic software development,,software cloud consulting ltd,62012 - Business and domestic software development,,0
